Date,Notes,Notes_clean,Prediction
04/02/2018 12:48:36,Index CON_DM_UW_STG.PK_W_D_MC_USAGE_VIEW or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.IDX_W_D_MC_CHNL_CUST_CHNL_ID or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.IDX_W_D_MC_CHNL_CUST_DEVICE_ID or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.IDX_W_D_MC_CHNL_CUST_SERV_ID or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.PK_W_D_MC_CHNL_CUST or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.IDX_W_D_MC_USE_VIEW_DEVICE_ID or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.IDX_W_D_MC_USE_VIEW_LCHNL_ID or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.IDX_W_D_MC_USE_VIEW_PROG_ID or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.IDX_W_D_MC_USE_VIEW_SERV_ID or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.IDX_W_D_MC_USE_VIEW_SESS_ID or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.IDX_W_D_MC_USE_VIEW_VDURA_ID or some [sub]partitions of the index have been marked unusable,index con dm uw stg pk w mc usage view index marked unusable index con dm uw stg idx w mc chnl cust chnl id index marked unusable index con dm uw stg idx w mc chnl cust device id index marked unusable index con dm uw stg idx w mc chnl cust serv id index marked unusable index con dm uw stg pk w mc chnl cust index marked unusable index con dm uw stg idx w mc use view device id index marked unusable index con dm uw stg idx w mc use view lchnl id index marked unusable index con dm uw stg idx w mc use view prog id index marked unusable index con dm uw stg idx w mc use view serv id index marked unusable index con dm uw stg idx w mc use view sess id index marked unusable index con dm uw stg idx w mc use view vdura id index marked unusable,Index Unusable
04/02/2018 12:48:37,Index CON_DM_UW_STG.IDX_W_D_MC_CHNL_VIEW_CHNL_ID or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.PK_W_D_MC_CHNL_VIEW or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.IDX_W_D_MC_CHNL_VIEW_SERV_ID or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.IDX_W_D_MC_CHNL_VIEW_DEVICE_ID or some [sub]partitions of the index have been marked unusable,index con dm uw stg idx w mc chnl view chnl id index marked unusable index con dm uw stg pk w mc chnl view index marked unusable index con dm uw stg idx w mc chnl view serv id index marked unusable index con dm uw stg idx w mc chnl view device id index marked unusable,Index Unusable
01/02/2018 06:00:01,"Errors in file /dborafiles/admin/diag/rdbms/edw01_tp/edw01t3/trace/edw01t3_j002_54057.trc:.ORA-12012: error on auto execute of job 333.ORA-00001: unique constraint (801726697.CONFIG_REPORT_DATES_PK) violated.ORA-06512: at ""801726697.JOB_DAILY_ICT_DATA"", line 34.ORA-06512: at line 1",errors file dborafiles admin diag rdbms tp trace trc ora error auto execute job ora unique constraint config report dates pk violated ora job daily ict data line ora line,Errors in file
02/02/2018 13:19:38,KSFV I/O slave I901 dp=0x8a86f3a0 exiting.KSFV I/O slave I801 dp=0x831f03b8 exiting.KSFV I/O slave I601 dp=0x8269f208 exiting,ksfv slave exiting ksfv slave exiting ksfv slave exiting,KSFV
04/02/2018 06:55:55,"SYS_STSI9B_7891$G$2B8DU923HP3M.SYS_STS20GAYNJH_7YFB9C31M#O9YB,.Deleted statistics for columns:.SYS_STSR8NCH1JIGSTAU2QF0NIVYKI,.SYS_STSER286VML3MV2XPDS50_QE8X,.SYS_STSR8SLJJPUUDSHW2$CAJ2VEXH,.of [sub]partition P_MX of table H_EDW_PROPENSITY_MASTER",sys sys deleted statistics columns sys sys sys p mx table h edw propensity master,Partition
04/02/2018 00:51:41,Current log# 10 seq# 31203 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_10.261.929538739.Thread 3 advanced to log sequence 31203 (LGWR switch).Current log# 10 seq# 31203 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_10.261.929538753,current merlp tp onlinelog group thread advanced log sequence lgwr switch current merlp tp onlinelog group,LGWR switch
03/02/2018 02:29:11,Current log# 15 seq# 67013 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_15.271.908034759.Current log# 15 seq# 67013 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_15.271.908034747.Thread 3 advanced to log sequence 67013 (LGWR switch),current tp onlinelog group current tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
06/02/2018 01:43:22,KSFV I/O slave I601 dp=0x831f03b8 exiting,ksfv slave exiting,KSFV
06/02/2018 01:43:25,Running KSFV I/O slave I601 os pid=5358,running ksfv slave os,KSFV
04/02/2018 06:14:02,KSFV I/O slave Id01 dp=0x1db2d9d7b8 exiting.KSFV I/O slave I601 dp=0x1ddfc3caa8 exiting.KSFV I/O slave Ie01 dp=0x1ddfc3c648 exiting,ksfv slave exiting ksfv slave exiting ksfv slave exiting,KSFV
01/02/2018 16:28:00,Archived Log entry 329161 added for thread 3 sequence 66850 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
05/02/2018 13:46:00,Current log# 5 seq# 67347 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_5.259.888832527.Thread 3 advanced to log sequence 67347 (LGWR switch).Current log# 5 seq# 67347 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_5.259.888832539,current tp onlinelog group thread advanced log sequence lgwr switch current tp onlinelog group,LGWR switch
03/02/2018 14:23:58,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_71172.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
04/02/2018 03:08:44,Archived Log entry 182996 added for thread 3 sequence 31209 ID 0x6d02838d dest 1:,archived log entry added thread sequence id dest,Archived Log entry
04/02/2018 03:08:43,Current log# 9 seq# 31210 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_9.262.929538727.Current log# 9 seq# 31210 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_9.262.929538711.Thread 3 advanced to log sequence 31210 (LGWR switch),current merlp tp onlinelog group current merlp tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
02/02/2018 15:19:54,KSFV I/O slave I601 dp=0x831f03b8 exiting,ksfv slave exiting,KSFV
05/02/2018 07:13:29,Running KSFV I/O slave I601 os pid=11317,running ksfv slave os,KSFV
05/02/2018 22:14:18,Archived Log entry 183702 added for thread 3 sequence 31335 ID 0x6d02838d dest 1:.Thread 3 advanced to log sequence 31336 (LGWR switch).Current log# 11 seq# 31336 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_11.267.929538767.Current log# 11 seq# 31336 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_11.267.929538781,archived log entry added thread sequence id dest thread advanced log sequence lgwr switch current merlp tp onlinelog group current merlp tp onlinelog group,LGWR switch
01/02/2018 09:17:49,Current log# 11 seq# 30992 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_11.267.929538781.Current log# 11 seq# 30992 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_11.267.929538767.Thread 3 advanced to log sequence 30992 (LGWR switch),current merlp tp onlinelog group current merlp tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
03/02/2018 06:25:38,Thread 3 advanced to log sequence 31126 (LGWR switch).Current log# 9 seq# 31126 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_9.262.929538711.Archived Log entry 182469 added for thread 3 sequence 31125 ID 0x6d02838d dest 1:.Current log# 9 seq# 31126 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_9.262.929538727,thread advanced log sequence lgwr switch current merlp tp onlinelog group archived log entry added thread sequence id dest current merlp tp onlinelog group,LGWR switch
04/02/2018 06:17:59,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j001_81602.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
01/02/2018 19:28:11,Archived Log entry 329218 added for thread 3 sequence 66863 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
04/02/2018 02:13:34,Archived Log entry 182982 added for thread 3 sequence 31207 ID 0x6d02838d dest 1:,archived log entry added thread sequence id dest,Archived Log entry
01/02/2018 08:28:23,Archived Log entry 328939 added for thread 3 sequence 66791 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
01/02/2018 09:17:47,ALTER SYSTEM ARCHIVE LOG,alter system archive log,archiving disabled
04/02/2018 11:18:00,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_67846.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
01/02/2018 12:43:15,Archived Log entry 329072 added for thread 3 sequence 66825 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
02/02/2018 13:15:33,Running KSFV I/O slave I801 os pid=95664,running ksfv slave os,KSFV
05/02/2018 18:00:03,Archived Log entry 331491 added for thread 3 sequence 67364 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
05/02/2018 09:44:09,Thread 3 advanced to log sequence 67322 (LGWR switch).Current log# 16 seq# 67322 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_16.272.908034805.Current log# 16 seq# 67322 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_16.272.908034819,thread advanced log sequence lgwr switch current tp onlinelog group current tp onlinelog group,LGWR switch
03/02/2018 10:33:44,Archived Log entry 330190 added for thread 3 sequence 67066 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
01/02/2018 11:16:57,Archived Log entry 329034 added for thread 3 sequence 66814 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
04/02/2018 02:41:59,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_13548.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
04/02/2018 14:54:00,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_27959.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
03/02/2018 19:47:58,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_15707.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
01/02/2018 09:29:03,Archived Log entry 328970 added for thread 3 sequence 66802 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
05/02/2018 05:38:44,Current log# 6 seq# 67280 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_6.260.888832563.Current log# 6 seq# 67280 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_6.260.888832551.Thread 3 advanced to log sequence 67280 (LGWR switch),current tp onlinelog group current tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
04/02/2018 08:14:00,Thread 3 advanced to log sequence 31235 (LGWR switch).Archived Log entry 183143 added for thread 3 sequence 31234 ID 0x6d02838d dest 1:.Current log# 10 seq# 31235 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_10.261.929538739.Current log# 10 seq# 31235 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_10.261.929538753,thread advanced log sequence lgwr switch archived log entry added thread sequence id dest current merlp tp onlinelog group current merlp tp onlinelog group,LGWR switch
02/02/2018 05:07:59,Thread 3 advanced to log sequence 66909 (LGWR switch).Current log# 15 seq# 66909 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_15.271.908034747.Current log# 15 seq# 66909 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_15.271.908034759,thread advanced log sequence lgwr switch current tp onlinelog group current tp onlinelog group,LGWR switch
03/02/2018 04:58:30,Archived Log entry 330050 added for thread 3 sequence 67031 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
05/02/2018 16:15:32,Auto-tuning: Shutting down background process GTX2,auto tuning shutting background process,Background Process
04/02/2018 03:22:42,ALTER SYSTEM ARCHIVE LOG,alter system archive log,archiving disabled
05/02/2018 16:56:22,Errors in file /dborafiles/admin/diag/rdbms/edw01_tp/edw01t3/trace/edw01t3_ora_6408.trc:.ORA-10173: Dynamic Sampling time-out error,errors file dborafiles admin diag rdbms tp trace ora trc ora dynamic sampling time error,Errors in file
01/02/2018 05:36:56,Archived Log entry 328846 added for thread 3 sequence 66770 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
05/02/2018 12:56:20,Archived Log entry 331420 added for thread 3 sequence 67341 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
05/02/2018 10:08:08,Current log# 5 seq# 67323 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_5.259.888832539.Current log# 5 seq# 67323 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_5.259.888832527.Thread 3 advanced to log sequence 67323 (LGWR switch),current tp onlinelog group current tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
01/02/2018 15:13:53,Client address: (ADDRESS=(PROTOCOL=tcp)(HOST=172.31.160.20)(PORT=59433)).01/02/2018 15:13:53.VERSION INFORMATION:.TNS for Linux: Version 12.1.0.2.0 - Production.Oracle Bequeath NT Protocol Adapter for Linux: Version 12.1.0.2.0 - Production.TCP/IP NT Protocol Adapter for Linux: Version 12.1.0.2.0 - Production.Time: 01-FEB-2018 15:13:53.Tracing not turned on..Tns error struct:.ns main err code: 12535.01/02/2018 15:13:53.TNS-12535: TNS:operation timed out.ns secondary err code: 12560.nt main err code: 505.01/02/2018 15:13:53.TNS-00505: Operation timed out.nt secondary err code: 110.nt OS err code: 0.01/02/2018 15:13:53.Fatal NI connect error 12170.,client address address protocoltcp version information tns linux version production oracle bequeath nt protocol adapter linux version production tcp ip nt protocol adapter linux version production time feb tracing turned tns error struct ns main err code tns tns operation timed ns secondary err code nt main err code tns operation timed nt secondary err code nt os err code fatal ni connect error,Fatal NI
02/02/2018 07:22:50,Archived Log entry 329541 added for thread 3 sequence 66923 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
01/02/2018 13:08:53,Errors in file /dborafiles/admin/diag/rdbms/edw01_tp/edw01t3/trace/edw01t3_ora_80612.trc:.ORA-10173: Dynamic Sampling time-out error,errors file dborafiles admin diag rdbms tp trace ora trc ora dynamic sampling time error,Errors in file
05/02/2018 09:46:56,Archived Log entry 331342 added for thread 3 sequence 67321 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
05/02/2018 12:09:41,Index CON_DM_UW_STG.PK_W_D_MC_CHNL_VIEW or some [sub]partitions of the index have been marked unusable,index con dm uw stg pk w mc chnl view index marked unusable,Index Unusable
05/02/2018 12:09:40,Index CON_DM_UW_STG.IDX_W_D_MC_CHNL_VIEW_DEVICE_ID or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.IDX_W_D_MC_CHNL_VIEW_SERV_ID or some [sub]partitions of the index have been marked unusable,index con dm uw stg idx w mc chnl view device id index marked unusable index con dm uw stg idx w mc chnl view serv id index marked unusable,Index Unusable
01/02/2018 17:54:06,"Index CON_DM_UW_MOB_STG.IDX_W_DLY_AGG_DET_PROM_KEY or some [sub]partitions of the index have been marked unusable.of [sub]partition P20180116 of table F_DLY_MOB_USAGE_AGG_SUM.SYS_STSMH#OC7$L96BQM3JHJTA1UGX.SYS_STS2VRTQ5#PD_U4O35DQWK#UJX,.Deleted statistics for columns:.Index CON_DM_UW_MOB_STG.IDX_W_DLY_AGG_DET_USG_TYPE or some [sub]partitions of the index have been marked unusable",index con dm uw mob stg idx w dly agg det prom key index marked unusable table f dly mob usage agg sum sys sys deleted statistics columns index con dm uw mob stg idx w dly agg det usg type index marked unusable,Index Unusable
01/02/2018 16:27:33,Archived Log entry 329155 added for thread 3 sequence 66849 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
05/02/2018 08:10:02,Archived Log entry 331286 added for thread 3 sequence 67306 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
04/02/2018 02:42:24,Archived Log entry 330469 added for thread 3 sequence 67123 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
02/02/2018 23:29:57,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_71787.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
01/02/2018 16:20:31,Errors in file /dborafiles/admin/diag/rdbms/edw01_tp/edw01t3/trace/edw01t3_p00b_7427.trc:.ORA-10173: Dynamic Sampling time-out error,errors file dborafiles admin diag rdbms tp trace trc ora dynamic sampling time error,Errors in file
03/02/2018 20:35:59,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_34989.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
02/02/2018 17:19:45,Reconfiguration complete (total time 8.1 secs),reconfiguration complete total time secs,Reconfiguration
03/02/2018 08:33:03,Thread 3 advanced to log sequence 67058 (LGWR switch).Current log# 16 seq# 67058 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_16.272.908034819.Current log# 16 seq# 67058 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_16.272.908034805,thread advanced log sequence lgwr switch current tp onlinelog group current tp onlinelog group,LGWR switch
05/02/2018 20:13:56,Running KSFV I/O slave I601 os pid=39373,running ksfv slave os,KSFV
04/02/2018 10:48:00,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_11537.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
03/02/2018 02:16:46,Note: Some NFS servers require 'insecure' to be specified as part of the export..Direct NFS: Please check the permissions for server 10.9.191.153.,note nfs servers require specified part export direct nfs please check permissions server,NFS Permission
04/02/2018 15:00:58,Archived Log entry 330877 added for thread 3 sequence 67219 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
02/02/2018 09:16:28,Archived Log entry 182079 added for thread 3 sequence 31058 ID 0x6d02838d dest 1:,archived log entry added thread sequence id dest,Archived Log entry
02/02/2018 18:21:50,Index CON_DM_UW_MOB_STG.IDX_W_DLY_AGG_DET_USG_TYPE or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_MOB_STG.IDX_W_DLY_AGG_DET_PROM_KEY or some [sub]partitions of the index have been marked unusable,index con dm uw mob stg idx w dly agg det usg type index marked unusable index con dm uw mob stg idx w dly agg det prom key index marked unusable,Index Unusable
