basket_id,description
71285808,BANANAS
72616446,BANANAS
108656209,BANANAS
76392520,BANANAS
120679973,BANANAS
113856417,BANANAS
116432497,BANANAS
132321899,BANANAS
101712295,BANANAS
97900040,BANANAS
101610274,BANANAS
78099746,BANANAS
116800452,BANANAS
71358770,BANANAS
75689007,BANANAS
97631866,BANANAS
83366962,BANANAS
71334356,BANANAS
108066346,BANANAS
98922272,BANANAS
81853547,BANANAS
74363077,BANANAS
118444517,BANANAS
96371818,BANANAS
99886195,BANANAS
115721025,BANANAS
96830677,BANANAS
114467875,BANANAS
86526815,BANANAS
109631315,BANANAS
96331358,BANANAS
119046193,BANANAS
93070235,BANANAS
100393499,BANANAS
100236157,BANANAS
82657306,BANANAS
129917344,BANANAS
112535238,BANANAS
121558643,BANANAS
89410234,BANANAS
81272891,BANANAS
112190590,BANANAS
68708593,BANANAS
122011985,BANANAS
91433115,BANANAS
82467485,BANANAS
103164722,BANANAS
81026880,BANANAS
125243030,BANANAS
115367658,BANANAS
122806871,BANANAS
101949633,BANANAS
81773771,BANANAS
105068130,BANANAS
116799302,BANANAS
103820564,BANANAS
121832240,BANANAS
98746481,BANANAS
113006803,BANANAS
125701858,BANANAS
108914391,BANANAS
80559019,BANANAS
97977832,BANANAS
117298032,BANANAS
86249450,BANANAS
89754824,BANANAS
107640018,BANANAS
106352543,BANANAS
88128682,BANANAS
80448426,BANANAS
75739699,BANANAS
112430348,BANANAS
101410733,BANANAS
99247648,BANANAS
87578252,BANANAS
123137235,BANANAS
77857435,BANANAS
114281721,BANANAS
99763353,BANANAS
97265660,BANANAS
128982072,BANANAS
99490858,BANANAS
69880919,BANANAS
79943903,BANANAS
129509717,BANANAS
94101823,BANANAS
112812058,BANANAS
83605377,BANANAS
131566727,BANANAS
96795421,BANANAS
90929087,BANANAS
120158858,BANANAS
108355962,BANANAS
94999692,BANANAS
122795583,BANANAS
100796784,BANANAS
100798766,BANANAS
86297546,BANANAS
75399739,BANANAS
74777519,BANANAS
130464272,BANANAS
89275808,BANANAS
91304474,BANANAS
86496641,BANANAS
87258133,BANANAS
95707112,BANANAS
124965285,BANANAS
75034878,BANANAS
90589285,BANANAS
123560520,BANANAS
70895739,BANANAS
99587087,BANANAS
70722801,BANANAS
119458010,BANANAS
92263725,BANANAS
73456339,BANANAS
78379824,BANANAS
83364550,BANANAS
91586612,BANANAS
119681899,BANANAS
86462293,BANANAS
76793281,BANANAS
91463743,BANANAS
77633932,BANANAS
84635399,BANANAS
76051834,BANANAS
78940620,BANANAS
80224459,BANANAS
132674663,BANANAS
77811778,BANANAS
77705790,BANANAS
119842555,BANANAS
82812259,BANANAS
81185870,BANANAS
93579417,BANANAS
92324694,BANANAS
69167109,BANANAS
78403039,BANANAS
115770685,BANANAS
79681587,BANANAS
102722817,BANANAS
69459115,BANANAS
69103526,BANANAS
98500914,BANANAS
88142918,BANANAS
113898413,BANANAS
70858615,BANANAS
86458432,BANANAS
99186674,BANANAS
93086445,BANANAS
97405028,BANANAS
123738135,BANANAS
114016576,BANANAS
89063111,BANANAS
98588977,BANANAS
101966804,BANANAS
110600925,BANANAS
130670395,BANANAS
87851457,BANANAS
82123358,BANANAS
71356876,BANANAS
91096505,BANANAS
106584243,BANANAS
112967266,BANANAS
71637094,BANANAS
86377048,BANANAS
96497612,BANANAS
117898968,BANANAS
108400370,BANANAS
89599121,BANANAS
109127054,BANANAS
71258607,BANANAS
79291578,BANANAS
85929514,BANANAS
73748238,BANANAS
96496758,BANANAS
95361295,BANANAS
75999399,BANANAS
81779189,BANANAS
112649433,BANANAS
85262421,BANANAS
120183106,BANANAS
82355146,BANANAS
110197230,BANANAS
70280113,BANANAS
92365447,BANANAS
119011016,BANANAS
117698177,BANANAS
73037262,BANANAS
76670949,BANANAS
121843903,BANANAS
116436502,BANANAS
76099116,BANANAS
130274215,BANANAS
111028754,BANANAS
107847726,BANANAS
74520759,BANANAS
125585145,BANANAS
123153446,BANANAS
76427293,BANANAS
82874181,BANANAS
94869748,BANANAS
82399447,BANANAS
79283503,BANANAS
72438343,BANANAS
128705317,BANANAS
98428284,BANANAS
93296347,BANANAS
127973600,BANANAS
88192935,BANANAS
124450364,BANANAS
95975030,BANANAS
90734100,BANANAS
120447143,BANANAS
111320816,BANANAS
98599904,BANANAS
90748849,BANANAS
128429124,BANANAS
128429124,BANANAS
94648097,BANANAS
75334977,BANANAS
91186645,BANANAS
119033630,BANANAS
71823706,BANANAS
71084709,BANANAS
73037442,BANANAS
124071362,BANANAS
104882118,BANANAS
104192335,BANANAS
104192335,BANANAS
84486712,BANANAS
69384141,BANANAS
97466506,BANANAS
104200466,BANANAS
88649156,BANANAS
109644290,BANANAS
68814145,BANANAS
114725850,BANANAS
75298322,BANANAS
74621542,BANANAS
96688362,BANANAS
94561820,BANANAS
71380246,BANANAS
128447763,BANANAS
68841917,BANANAS
84130819,BANANAS
109407419,BANANAS
74756378,BANANAS
99659744,BANANAS
99926103,BANANAS
111805055,BANANAS
122581345,BANANAS
131137395,BANANAS
93729340,BANANAS
97231443,BANANAS
82815061,BANANAS
104608295,BANANAS
120411167,BANANAS
121055107,BANANAS
98169276,BANANAS
72475401,BANANAS
102822946,BANANAS
124625335,BANANAS
97286955,BANANAS
70552316,BANANAS
88601152,BANANAS
85084079,BANANAS
85540976,BANANAS
99030406,BANANAS
83512756,BANANAS
89082308,BANANAS
110916162,BANANAS
120468035,BANANAS
78876889,BANANAS
75788500,BANANAS
86629620,BANANAS
93111167,BANANAS
93321051,BANANAS
89351545,BANANAS
90956720,BANANAS
121245232,BANANAS
95968032,BANANAS
70821662,BANANAS
77752832,BANANAS
129047982,BANANAS
85502438,BANANAS
78075807,BANANAS
103667909,BANANAS
99295801,BANANAS
68635452,BANANAS
111607380,BANANAS
104148952,BANANAS
90814310,BANANAS
75006592,BANANAS
101485512,BANANAS
115554167,BANANAS
91494455,BANANAS
76391256,BANANAS
114333806,BANANAS
110315962,BANANAS
71506175,BANANAS
83084560,BANANAS
122878934,BANANAS
107123430,BANANAS
95250528,BANANAS
107559087,BANANAS
101656342,BANANAS
85893876,BANANAS
90414890,BANANAS
89989915,BANANAS
95126008,BANANAS
106082940,BANANAS
69747795,BANANAS
98264057,BANANAS
129183525,BANANAS
90912909,BANANAS
97859642,BANANAS
94136868,BANANAS
86982074,BANANAS
128872566,BANANAS
121375179,BANANAS
102570991,BANANAS
98466456,BANANAS
93093453,BANANAS
81832720,BANANAS
114473584,BANANAS
90809585,BANANAS
131131317,BANANAS
108386908,BANANAS
92839933,BANANAS
108635065,BANANAS
112273640,BANANAS
74145780,BANANAS
79333671,BANANAS
92824214,BANANAS
89796251,BANANAS
102902021,BANANAS
95135210,BANANAS
110422402,BANANAS
123905715,BANANAS
112767926,BANANAS
82754516,BANANAS
115794780,BANANAS
104546914,BANANAS
83730654,BANANAS
117596948,BANANAS
110819052,BANANAS
87706761,BANANAS
130351251,BANANAS
123593505,BANANAS
100035741,BANANAS
121296356,BANANAS
88673904,BANANAS
97205265,BANANAS
84324880,BANANAS
122836694,BANANAS
125370136,BANANAS
78781999,BANANAS
88490076,BANANAS
133397488,BANANAS
124371560,BANANAS
73169896,BANANAS
94277438,BANANAS
129337925,BANANAS
90533920,BANANAS
87260432,BANANAS
94467264,BANANAS
75833203,BANANAS
83978469,BANANAS
107951954,BANANAS
107026782,BANANAS
80586468,BANANAS
81687084,BANANAS
103783090,BANANAS
70618686,BANANAS
74708737,BANANAS
72870302,BANANAS
80558767,BANANAS
70630157,BANANAS
83054350,BANANAS
71229392,BANANAS
74031155,BANANAS
74974793,BANANAS
100517610,BANANAS
132097652,BANANAS
116662098,BANANAS
132532199,BANANAS
70084897,BANANAS
92412626,BANANAS
91367047,BANANAS
117697898,BANANAS
107363939,BANANAS
97497452,BANANAS
69407341,BANANAS
79744980,BANANAS
69293260,BANANAS
115165624,BANANAS
130394254,BANANAS
76651298,BANANAS
114269508,BANANAS
117550136,BANANAS
128908907,BANANAS
119864960,BANANAS
121852430,BANANAS
107911922,BANANAS
104625544,BANANAS
125586000,BANANAS
114825773,BANANAS
100501912,BANANAS
100900561,BANANAS
70867326,BANANAS
132325903,BANANAS
131106379,BANANAS
72611724,BANANAS
95159743,BANANAS
85152797,BANANAS
96039940,BANANAS
102145926,BANANAS
85618224,BANANAS
112110770,BANANAS
116676171,BANANAS
107337691,BANANAS
74188470,BANANAS
133223888,BANANAS
71526612,BANANAS
97729390,BANANAS
89977710,BANANAS
74149530,BANANAS
75612080,BANANAS
118111664,BANANAS
113333211,BANANAS
72822399,BANANAS
89894923,BANANAS
76142543,BANANAS
125189317,BANANAS
73196700,BANANAS
110364289,BANANAS
71170251,BANANAS
132500630,NAVAL ORANGES
92324694,NAVAL ORANGES
88487002,NAVAL ORANGES
105977926,NAVAL ORANGES
81185870,NAVAL ORANGES
68708593,NAVAL ORANGES
77633932,NAVAL ORANGES
77962724,NAVAL ORANGES
79857353,NAVAL ORANGES
98220632,NAVAL ORANGES
119458010,NAVAL ORANGES
118842376,NAVAL ORANGES
117697898,NAVAL ORANGES
121167041,NAVAL ORANGES
69497118,NAVAL ORANGES
92032145,NAVAL ORANGES
75739699,NAVAL ORANGES
79937122,NAVAL ORANGES
107311314,NAVAL ORANGES
75388687,NAVAL ORANGES
91586612,NAVAL ORANGES
118111664,NAVAL ORANGES
101082845,NAVAL ORANGES
69956415,NAVAL ORANGES
89110089,NAVAL ORANGES
95813446,NAVAL ORANGES
101081812,NAVAL ORANGES
115551783,NAVAL ORANGES
101081812,NAVAL ORANGES
122581345,NAVAL ORANGES
87859764,NAVAL ORANGES
68876558,NAVAL ORANGES
86750322,NAVAL ORANGES
79943903,NAVAL ORANGES
105208605,NAVAL ORANGES
91682073,NAVAL ORANGES
103820564,NAVAL ORANGES
98169276,NAVAL ORANGES
102722817,NAVAL ORANGES
92937688,NAVAL ORANGES
99217971,NAVAL ORANGES
98918583,NAVAL ORANGES
81026880,NAVAL ORANGES
70552316,NAVAL ORANGES
100939823,NAVAL ORANGES
71637094,NAVAL ORANGES
133587136,NAVAL ORANGES
84687130,NAVAL ORANGES
102247510,APPLE DEL RED W LG
110207649,APPLE DEL RED W LG
116821423,APPLE DEL RED W LG
94999692,APPLE DEL RED W LG
100939823,APPLE DEL RED W LG
87859764,APPLE DEL RED W LG
118372772,APPLE DEL RED W LG
91682073,APPLE DEL RED W LG
101597422,APPLE DEL RED W LG
77807746,APPLE DEL RED W LG
74328663,APPLE DEL RED W LG
86526815,APPLE DEL RED W LG
108166747,APPLE DEL RED W LG
98220632,APPLE DEL RED W LG
80224459,APPLE DEL RED W LG
82336767,APPLE DEL RED W LG
101082845,APPLE DEL RED W LG
91023644,APPLE DEL RED W LG
68708593,APPLE DEL RED W LG
101081812,APPLE DEL RED W LG
91433115,APPLE DEL RED W LG
105872969,APPLE DEL RED W LG
69956415,APPLE DEL RED W LG
76158167,APPLE DEL RED W LG
102789483,APPLE DEL RED W LG
111725274,APPLE DEL RED W LG
94332537,APPLE DEL RED W LG
82754516,APPLE DEL RED W LG
101081812,APPLE DEL RED W LG
87914786,APPLE DEL RED W LG
107311314,APPLE DEL RED W LG
68927804,APPLE DEL RED W LG
97443466,APPLE DEL RED W LG
105208605,APPLE DEL RED W LG
125701858,APPLE DEL RED W LG
85512720,APPLE DEL RED W LG
112464667,APPLE DEL RED W LG
109703446,APPLE DEL RED W LG
86982074,APPLE DEL RED W LG
119174884,APPLE DEL RED W LG
89110089,APPLE DEL RED W LG
86579097,APPLE DEL RED W LG
108636207,APPLE DEL RED W LG
75739699,APPLE DEL RED W LG
103930209,APPLE DEL RED W LG
125265917,APPLE DEL RED W LG
129258599,APPLE DEL RED W LG
93296347,APPLE DEL RED W LG
117548049,APPLE DEL RED W LG
72438343,APPLE DEL RED W LG
87804931,APPLE DEL RED W LG
132507733,APPLE DEL RED W LG
129509717,APPLE DEL RED W LG
73238960,APPLE DEL RED W LG
112812058,APPLE DEL RED W LG
100939823,APPLE - GRANNY SMITH
127461093,APPLE - GRANNY SMITH
87859764,APPLE - GRANNY SMITH
118842376,APPLE - GRANNY SMITH
87824861,APPLE - GRANNY SMITH
119458010,APPLE - GRANNY SMITH
118372772,APPLE - GRANNY SMITH
74834170,APPLE - GRANNY SMITH
82399447,APPLE - GRANNY SMITH
82348529,APPLE - GRANNY SMITH
102972863,APPLE - GRANNY SMITH
97460257,APPLE - GRANNY SMITH
77807746,APPLE - GRANNY SMITH
89296263,APPLE - GRANNY SMITH
83366962,APPLE - GRANNY SMITH
128134468,APPLE - GRANNY SMITH
91023644,APPLE - GRANNY SMITH
117199303,APPLE - GRANNY SMITH
86679845,APPLE - GRANNY SMITH
72438343,APPLE - GRANNY SMITH
87306395,APPLE - GRANNY SMITH
73383576,MC INTOSH APPLES
72203936,MC INTOSH APPLES
70743810,MC INTOSH APPLES
94665263,MC INTOSH APPLES
74621542,MC INTOSH APPLES
77962724,MC INTOSH APPLES
89796251,MC INTOSH APPLES
78099746,MC INTOSH APPLES
78942037,MC INTOSH APPLES
87258133,MC INTOSH APPLES
75689007,MC INTOSH APPLES
123847801,APPLE DEL GOLD W LG
76793281,APPLE DEL GOLD W LG
113722801,APPLE DEL GOLD W LG
125523628,APPLE DEL GOLD W LG
125384521,APPLE DEL GOLD W LG
76507418,APPLE DEL GOLD W LG
83884337,APPLE DEL GOLD W LG
120052485,APPLE DEL GOLD W LG
106464238,GRAPES GREEN SEEDLESS
104699184,GRAPES GREEN SEEDLESS
117366131,GRAPES GREEN SEEDLESS
101899431,GRAPES GREEN SEEDLESS
73441228,GRAPES GREEN SEEDLESS
101082845,GRAPES GREEN SEEDLESS
98784121,GRAPES GREEN SEEDLESS
112435524,GRAPES GREEN SEEDLESS
116532327,GRAPES GREEN SEEDLESS
73167827,GRAPES GREEN SEEDLESS
106584243,GRAPES GREEN SEEDLESS
116156462,GRAPES GREEN SEEDLESS
87859764,GRAPES GREEN SEEDLESS
70618686,GRAPES GREEN SEEDLESS
81439257,GRAPES GREEN SEEDLESS
113578924,GRAPES GREEN SEEDLESS
133300052,GRAPES GREEN SEEDLESS
68429529,GRAPES GREEN SEEDLESS
83084560,GRAPES GREEN SEEDLESS
101895147,GRAPES GREEN SEEDLESS
91494455,GRAPES GREEN SEEDLESS
101081812,GRAPES GREEN SEEDLESS
107610080,GRAPES GREEN SEEDLESS
104200466,GRAPES GREEN SEEDLESS
70895739,GRAPES GREEN SEEDLESS
93177080,GRAPES GREEN SEEDLESS
84486712,GRAPES GREEN SEEDLESS
114473584,GRAPES GREEN SEEDLESS
112273640,GRAPES GREEN SEEDLESS
69293260,GRAPES GREEN SEEDLESS
120535116,GRAPES GREEN SEEDLESS
104192335,GRAPES GREEN SEEDLESS
104192335,GRAPES GREEN SEEDLESS
107276931,GRAPES GREEN SEEDLESS
72225805,GRAPES GREEN SEEDLESS
95250528,GRAPES GREEN SEEDLESS
92824214,GRAPES GREEN SEEDLESS
101081812,GRAPES GREEN SEEDLESS
80741305,GRAPES GREEN SEEDLESS
77705790,GRAPES GREEN SEEDLESS
101485512,GRAPES GREEN SEEDLESS
115877226,GRAPES GREEN SEEDLESS
115863283,GRAPES GREEN SEEDLESS
114717550,GRAPES GREEN SEEDLESS
85893876,GRAPES GREEN SEEDLESS
108112123,GRAPES GREEN SEEDLESS
87260432,GRAPES GREEN SEEDLESS
77545187,GRAPES GREEN SEEDLESS
84564429,GRAPES GREEN SEEDLESS
74188470,GRAPES GREEN SEEDLESS
79333671,GRAPES GREEN SEEDLESS
112663416,GRAPES GREEN SEEDLESS
86982074,GRAPES GREEN SEEDLESS
112020557,GRAPES GREEN SEEDLESS
103667909,GRAPES GREEN SEEDLESS
75005782,GRAPES GREEN SEEDLESS
111725274,GRAPES GREEN SEEDLESS
75689007,GRAPES GREEN SEEDLESS
86297546,GRAPES GREEN SEEDLESS
103424868,GRAPES RED SEEDLESS
71358770,GRAPES RED SEEDLESS
100466466,GRAPES RED SEEDLESS
70858615,GRAPES RED SEEDLESS
87763035,GRAPES RED SEEDLESS
89396184,GRAPES RED SEEDLESS
94654170,GRAPES RED SEEDLESS
75399739,GRAPES RED SEEDLESS
96795421,GRAPES RED SEEDLESS
108400370,GRAPES RED SEEDLESS
77943791,GRAPES RED SEEDLESS
99391238,GRAPES RED SEEDLESS
130422312,GRAPES RED SEEDLESS
98172463,GRAPES RED SEEDLESS
91616331,GRAPES RED SEEDLESS
104371454,GRAPES RED SEEDLESS
79850469,GRAPES RED SEEDLESS
107610080,GRAPES RED SEEDLESS
92412626,GRAPES RED SEEDLESS
108832583,GRAPES RED SEEDLESS
76507418,GRAPES RED SEEDLESS
94136868,GRAPES RED SEEDLESS
94436038,GRAPES RED SEEDLESS
96688362,GRAPES RED SEEDLESS
73410349,GRAPES RED SEEDLESS
73888384,GRAPES RED SEEDLESS
97859642,GRAPES RED SEEDLESS
93729340,GRAPES RED SEEDLESS
101899431,GRAPES RED SEEDLESS
97900748,GRAPES RED SEEDLESS
78518598,GRAPES RED SEEDLESS
117318913,GRAPES RED SEEDLESS
100517516,GRAPES RED SEEDLESS
77150536,GRAPES RED SEEDLESS
96802471,GRAPES RED SEEDLESS
90837864,GRAPES RED SEEDLESS
109847629,GRAPES RED SEEDLESS
89410234,GRAPES RED SEEDLESS
112535238,GRAPES RED SEEDLESS
77752832,GRAPES RED SEEDLESS
108292900,GRAPES RED SEEDLESS
92263725,GRAPES RED SEEDLESS
112020557,GRAPES RED SEEDLESS
74145780,GRAPES RED SEEDLESS
76331979,GRAPES RED SEEDLESS
112306338,GRAPES RED SEEDLESS
101190679,GRAPES RED SEEDLESS
69497118,GRAPES RED SEEDLESS
108656209,GRAPES RED SEEDLESS
75616148,GRAPES RED SEEDLESS
76076159,GRAPES RED SEEDLESS
74630783,ANJOU PEARS
92412626,KIWI FRUIT
75612080,KIWI FRUIT
72339072,KIWI FRUIT
84456540,KIWI FRUIT
100403246,WATERMELON - SEEDLESS
92581305,WATERMELON - SEEDLESS
100798766,WATERMELON - SEEDLESS
107595017,WATERMELON - SEEDLESS
88608967,WATERMELON - SEEDLESS
104776826,WATERMELON - SEEDLESS
92415407,WATERMELON - SEEDLESS
104546914,WATERMELON - SEEDLESS
104807920,WATERMELON - SEEDLESS
96802471,WATERMELON - SEEDLESS
112919446,WATERMELON - SEEDLESS
92906649,WATERMELON - SEEDLESS
94165459,WATERMELON - SEEDLESS
111040989,WATERMELON - SEEDLESS
95988195,WATERMELON - SEEDLESS
96420661,WATERMELON - SEEDLESS
102900301,WATERMELON - SEEDLESS
107026782,WATERMELON - SEEDLESS
96614161,WATERMELON - SEEDLESS
100501912,WATERMELON - SEEDLESS
102134022,WATERMELON - SEEDLESS
95397582,WATERMELON - SEEDLESS
101966804,LEMONS
90913158,LEMONS
112508310,LEMONS
77772035,LEMONS
115249699,LEMONS
118111664,LEMONS
92983775,LEMONS
100939823,HONEYDEW - LG
131924980,NECTARINES
112020557,PEACHES
112020557,PLUMS - BLACK
106058450,PLUMS - BLACK
101485512,PLUMS - BLACK
103820564,PLUMS - BLACK
111805055,PLUMS - BLACK
113786744,PLUMS - BLACK
109328920,PLUMS - BLACK
98259460,PLUMS - BLACK
101966804,PLUMS - BLACK
118073008,PLUMS - BLACK
110253227,PLUMS - BLACK
89048233,PLUMS - BLACK
114566234,PLUMS - BLACK
116800452,PLUMS - BLACK
86377048,PLUMS - BLACK
103550745,PLUMS - RED
102722817,PLUMS - RED
96795421,PLUMS - RED
99490858,PLUMS - RED
108887327,PEACHES
92412626,PEACHES
108355962,PEACHES
92365447,PEACHES
99587087,PEACHES
114360571,PEACHES
111320816,PEACHES
91186645,PEACHES
101966804,PEACHES
100681520,PEACHES
92263725,PEACHES
108994174,PEACHES
111805055,PEACHES
115565833,PEACHES
102157979,PEACHES
97706990,PEACHES
104546914,PEACHES
107002354,PEACHES
95250528,PEACHES
100292153,PEACHES
106423380,PEACHES
118869069,PEACHES
109328920,PEACHES
98072786,CHERRIES
103458739,CHERRIES
101844123,CHERRIES
108386908,CHERRIES
105806173,CHERRIES
101610274,CHERRIES
108066346,CHERRIES
95526884,CHERRIES
92019323,AVOCADOS
90810638,AVOCADOS
122011985,AVOCADOS
129841576,AVOCADOS
75833203,AVOCADOS
73037442,AVOCADOS
79291578,AVOCADOS
79333671,AVOCADOS
92263725,AVOCADOS
95135210,AVOCADOS
107951954,AVOCADOS
104791703,AVOCADOS
69384141,AVOCADOS
107026782,AVOCADOS
85929514,AVOCADOS
128872566,AVOCADOS
68876558,AVOCADOS
129823610,AVOCADOS
69563122,AVOCADOS
68841917,AVOCADOS
97859642,AVOCADOS
91469279,AVOCADOS
108386908,AVOCADOS
76392520,AVOCADOS
73441228,AVOCADOS
81687084,AVOCADOS
109407419,AVOCADOS
99926103,AVOCADOS
99713200,AVOCADOS
112792781,AVOCADOS
71354787,AVOCADOS
70567519,AVOCADOS
82754516,AVOCADOS
130632027,AVOCADOS
81829578,AVOCADOS
105141769,AVOCADOS
88490076,AVOCADOS
77752832,AVOCADOS
82812259,AVOCADOS
127546252,AVOCADOS
74777519,AVOCADOS
84324880,AVOCADOS
93093453,AVOCADOS
91494455,AVOCADOS
133666004,AVOCADOS
98466456,AVOCADOS
79547078,AVOCADOS
95250528,AVOCADOS
92983775,AVOCADOS
103143891,AVOCADOS
117366131,AVOCADOS
94136868,AVOCADOS
107123430,AVOCADOS
100033504,AVOCADOS
87260432,AVOCADOS
85084079,AVOCADOS
104791703,LIMES
108466458,LIMES
68876558,LIMES
127524020,LIMES
77807746,LIMES
91534945,LIMES
109631315,LIMES
108386908,LIMES
73037442,LIMES
92983775,LIMES
131924980,LIMES
101844123,LIMES
110600925,LIMES
96688362,LIMES
73269904,LIMES
117366131,LIMES
107123430,LIMES
113130211,LIMES
73441228,LIMES
69384141,LIMES
109523915,LIMES
76391256,LIMES
92263725,LIMES
76392520,LIMES
122573546,LIMES
73568582,LIMES
133666004,LIMES
107951954,LIMES
89296263,LIMES
96497612,CANTALOUPES
83605377,CANTALOUPES
109233392,CANTALOUPES
81617348,CANTALOUPES
87859764,CANTALOUPES
107609768,CANTALOUPES
99844296,CANTALOUPES
103458739,CANTALOUPES
103579745,CANTALOUPES
72822399,CANTALOUPES
91367047,CANTALOUPES
79704865,CANTALOUPES
120052485,CANTALOUPES
74131712,CANTALOUPES
97429794,CANTALOUPES
78904505,CANTALOUPES
82546283,CANTALOUPES
95397582,CANTALOUPES
109703446,CANTALOUPES
99513973,CANTALOUPES
104807920,CANTALOUPES
105973495,CANTALOUPES
111591612,CANTALOUPES
96213007,CANTALOUPES
73456339,CANTALOUPES
109733937,CANTALOUPES
97462728,MANGO
104346887,MANGO
118584812,MANGO
89335254,MANGO
94528240,MANGO
108386908,MANGO
71356876,MANGO
92839933,MANGO
86746663,MANGO
83379142,MANGO
81185870,MANGO
95135210,MANGO
99844296,MANGO
87777815,MANGO
119458010,MANGO
85535534,MANGO
85929514,MANGO
92944416,MANGO
115565833,MANGO
92567418,MANGO
110600925,LEMONS
116272222,LEMONS
131924980,LEMONS
115565833,LEMONS
