"","HOUSEHOLD_ID","CHURN","RECENCY","VISIT_DEC","VISIT_SEP_OCT","VISIT_JAN_AUG","PUR_DEC","PUR_SEP_OCT","PUR_JAN_AUG"
"476",400017713901,0,8,6,5.33333333333333,6.5,4169.06,185.21,366.95625
"484",400017704885,0,0,10,6.66666666666667,6.5,7992.69,377.596666666667,660.2525
"486",400121513718,0,7,13,6,4.25,5666.56,363.673333333333,375.1725
"489",400017731950,0,4,18,20.3333333333333,12.25,4694.72,290.84,391.4075
"498",400017747038,0,0,10,7.33333333333333,4.625,6476.11,381.053333333333,516.25125
"511",400121414416,0,0,5,4.66666666666667,5,4440.08,245.533333333333,372.53625
"512",400017719530,0,0,17,6,6.625,5770.67,140.923333333333,452.09375
"516",400017743818,0,1,8,5,6.375,4039.35,183.153333333333,328.625
"530",400017706265,0,5,8,6.66666666666667,9.25,4163.46,138.886666666667,380.5125
"832",400017716739,0,0,14,9.66666666666667,8.75,6519.4,353.37,508.65625
"835",400017739279,0,61,NA,7,12.375,10961.24,667.823333333333,1119.72125
"842",400016435115,0,0,4,5,4.75,7444.74,388.286666666667,585.59625
"844",400017737899,0,3,11,12.6666666666667,9.375,4071.2,293.05,275.2925
"847",400121511387,0,0,6,6.66666666666667,6.5,4824.94,241.293333333333,382.56375
"850",400017746731,0,3,20,20,23.125,10550.72,841.086666666667,770.0475
"854",400017745995,0,0,25,25.6666666666667,18.875,12262.54,770.9,970.6725
"856",400017743143,0,1,8,9,8.875,7829.04,436.12,619.735
"857",400017740751,0,0,16,24.6666666666667,14.5,5289.54,404.31,356.825
"858",400017744339,0,9,5,4.66666666666667,5.375,5576.03,282.466666666667,483.26875
"860",400014636315,0,1,9,15.3333333333333,10.5,4775.27,383.91,367.1275
"862",400121501911,0,1,6,3,6.75,6575.95,306.306666666667,656.36375
"863",400121468774,0,1,10,13.6666666666667,9.75,7978,613.72,575.09
"864",400001197518,0,0,9,5,6.875,4500.52,190.793333333333,397.02125
"868",400017698138,0,0,5,6.66666666666667,6.125,4265.78,211.916666666667,383.59375
"880",400017718947,0,0,8,7.33333333333333,6.75,4449.51,195.72,368.7775
"883",400017720971,0,5,6,6.33333333333333,5.875,4097.18,266.64,289.26625
"887",400017734587,0,0,7,7.33333333333333,7.375,5650.25,304.936666666667,475.3175
"890",400017725847,0,0,7,9.66666666666667,7,5858.61,336.606666666667,491.355
"894",400017724559,0,0,13,12,10.25,6399.46,305.77,467.26
"895",400017713134,0,7,6,3.33333333333333,7.875,6373.75,187.993333333333,674.39125
"902",400000040697,0,16,7,9.33333333333333,7.375,5033.62,354.513333333333,421.2625
"903",400017733207,0,0,9,8.66666666666667,8,6072.36,381.596666666667,500.99875
"914",400017737071,0,3,7,5,4.5,5427.05,265.756666666667,413.24875
"922",400012578484,0,16,6,6,6.125,9044.53,535.976666666667,779.61375
"1264",400121512605,0,1,8,7,5.375,4903.41,279.386666666667,408.6075
"1265",400017732585,0,1,21,11.6666666666667,11.875,9706.05,623.663333333333,754.005
"1269",400017715364,0,0,18,15.6666666666667,23.5,5811.31,247.48,556.16
"1270",400017735621,0,0,9,9.33333333333333,15,5071.76,237.366666666667,450.2175
"1274",400121470360,0,0,13,17.3333333333333,18.875,11088.05,643.736666666667,940.06375
"1276",400017743717,0,1,26,34.6666666666667,26,13207.04,866.41,1061.17625
"1279",400017746293,0,0,9,7,7.125,4345.72,183.553333333333,377.145
"1284",400017719705,0,0,5,6,2.75,4334.45,204.976666666667,334.585
"1287",400017731481,0,2,5,8,7.125,6251.01,256.993333333333,543.605
"1292",400121450396,0,1,9,6.33333333333333,7.625,4756.13,292.833333333333,370.21125
"1297",400017711868,0,3,6,5.66666666666667,6.25,5314.96,191.7,472.98625
"1302",400017716853,0,1,12,11.3333333333333,6.875,11832.26,698.89,911.74125
"1314",400017718509,0,0,11,10.3333333333333,8.5,5118.95,354.353333333333,400.2775
"1315",400017719981,0,1,10,13.3333333333333,13.5,7544.81,368.56,659.71625
"1317",400000454821,0,1,13,13.3333333333333,11.25,10663.21,699.783333333333,926.17875
"1318",400014414474,0,2,4,3,2.75,4225.45,333.8,325.7675
"1328",400017715548,0,8,5,6.33333333333333,7.625,4144.12,274.656666666667,356.56625
"1339",400017729089,0,0,8,9.33333333333333,6.75,10634.04,694.48,852.675
"1343",400017708188,0,3,5,3,5.625,6176.53,267.01,562.18375
"1350",400017724305,0,1,8,7.66666666666667,5,7136,532.063333333333,536.51875
"1369",400017704968,0,10,3,3.66666666666667,4.75,5316.33,152.533333333333,494.83
"1699",400000881958,0,0,10,10.3333333333333,8.875,9602.61,577.843333333333,754.7225
"1705",400017714582,0,27,1,16.6666666666667,13.5,5929.73,468.72,502.46
"1706",400017727755,0,3,9,11.6666666666667,15.375,9218.14,421.853333333333,813.49625
"1708",400017721775,0,0,4,5,4.125,4004,239.596666666667,318.1
"1712",400017734379,0,1,20,10.3333333333333,8.25,5935.17,343.663333333333,414.4675
"1713",400121513755,0,0,19,12.6666666666667,12.875,4133.01,229.346666666667,309.06
"1717",400017719567,0,0,13,9.33333333333333,10.375,5401.96,274.39,431.0625
"1718",400017741739,0,1,8,15.3333333333333,18.875,18869.96,971.453333333333,1757.61125
"1729",400017725271,0,1,17,9.66666666666667,12.875,5429.84,204.406666666667,487.3125
"1731",400121515227,0,1,9,8,8.375,5393.19,301.366666666667,445.01375
"1739",400017733367,0,0,10,9.66666666666667,6,4843.34,412.763333333333,308.05
"1753",400017729135,0,1,4,9.33333333333333,7.125,5621.16,458.47,426.93
"1763",400017717911,0,0,8,8.66666666666667,8.25,5932.93,291.166666666667,518.72
"1784",400017737139,0,0,14,12,9.875,7563.05,513.53,530.01875
"2132",400017713360,0,0,54,49.6666666666667,51.375,9074.85,459.213333333333,748.40375
"2134",400017725245,0,0,10,6.33333333333333,11.75,6734.81,191.12,644.43125
"2138",400017741805,0,0,11,10.3333333333333,8.25,4617.26,207.85,378.315
"2139",400009251399,0,0,12,15.3333333333333,17.875,5779.17,359.183333333333,532.14
"2146",400017732789,0,0,13,10.3333333333333,7.125,4169.21,259.586666666667,310.425
"2147",400017724049,0,11,8,7,6.75,10880.35,535.66,841.77125
"2148",400121461916,0,2,11,4,5.125,6485.17,265.923333333333,583.78875
"2150",400121436156,0,0,16,14.6666666666667,16.75,9536.01,430.9,888.7225
"2152",400121528265,0,1,17,21.6666666666667,22,4116.16,198.063333333333,355.85625
"2153",400121512441,0,2,3,6.33333333333333,3,5060.94,412.11,321.9325
"2158",400017738769,0,5,8,10.6666666666667,7.25,66339.45,9120.70666666667,3656.88
"2160",400121517869,0,0,15,11,12.25,5765.03,254.483333333333,513.3175
"2162",400017726349,0,0,7,7,15.125,4913.17,158.006666666667,486.2575
"2173",400017729937,0,8,7,8.33333333333333,7.875,4836.58,327.593333333333,422.63
"2174",400017739413,0,0,14,12.3333333333333,15.25,8752.38,512.456666666667,677.28125
"2175",400017734169,0,0,6,7,10.125,4346.37,202.536666666667,391.96625
"2183",400017654296,0,0,9,18.3333333333333,11,6480.71,368.356666666667,490.91
"2185",400009469323,0,0,4,13,6.75,4186.17,570.826666666667,211.40625
"2186",400017720001,0,3,6,4.66666666666667,6.125,4610.47,288.753333333333,336.74125
"2190",400017727269,0,0,14,10.3333333333333,8.75,6372.06,413.82,511.7225
"2200",400017735641,0,9,11,9.33333333333333,7.75,7152.57,462.97,570.5525
"2201",400017748153,0,0,7,3.33333333333333,6,5828.67,125.086666666667,309.69125
"2205",400017732973,0,0,11,7.33333333333333,7.25,5224.7,286.406666666667,416.9125
"2211",400017710416,0,2,8,7.66666666666667,7.75,4196.47,249.906666666667,361.82375
"2214",400121524677,0,46,NA,9.33333333333333,8.5,7199.26,458.013333333333,667.565
"2215",400121401639,0,10,2,2.66666666666667,3.25,5562.71,174.06,502.2175
"2216",400016434605,0,0,10,7,6.875,4189.69,203.35,342.54875
"2242",400017723681,0,1,8,6,8.75,4366.6,189.523333333333,422.35375
"2338",400017714004,0,8,5,3.66666666666667,5,9186.92,385.303333333333,755.45375
"2570",400017477322,0,0,14,9.66666666666667,8.375,4612.37,292.85,357.82
"2571",400121427392,0,0,21,13.3333333333333,13.375,6871.88,326.33,584.81125
"2573",400017739222,0,0,16,15,12.75,5330.18,435.216666666667,388.46875
"2575",400017721098,0,1,13,15.3333333333333,11,14349.28,979.986666666667,1078.49
"2576",400017728642,0,17,1,2.66666666666667,3.75,6925.77,215.523333333333,644.85375
"2578",400017717510,0,0,26,24.3333333333333,23.625,12084.03,581.126666666667,1028.5325
"2580",400121500273,0,1,12,13.6666666666667,12.75,4311.46,257.946666666667,359.22375
"2581",400121514734,0,1,17,20.6666666666667,19.375,10223.45,726.836666666667,773.3825
"2584",400017733150,0,1,19,16.3333333333333,11.875,7381.01,545.87,526.20875
"2585",400017715469,0,3,10,14.3333333333333,11.5,6338.66,385.433333333333,532.5575
"2588",400017717970,0,1,24,19.3333333333333,15.625,5167.73,410.96,353.86625
"2590",400017741706,0,4,8,7.33333333333333,5.125,5758.66,387.686666666667,424.06875
"2601",400017724778,0,7,8,8.66666666666667,8.375,4230.92,221.173333333333,364.96375
"2602",400017709305,0,2,15,13.6666666666667,17.125,4870.28,291.266666666667,428.18125
"2605",400121442865,0,0,16,17,9.25,5972.62,450.866666666667,425.43125
"2606",400014834494,0,0,22,20.3333333333333,15.875,10290.72,673.58,815.49875
"2609",400017742258,0,0,11,9.33333333333333,6.625,8052.43,561.563333333333,595.74125
"2611",400017730114,0,0,26,24.6666666666667,18.125,12380.54,784.756666666667,974.92
"2614",400121480953,0,5,13,13,11.75,5029.17,367.56,354.96
"2623",400017711697,0,0,16,8,14.25,4134.02,110.19,410.92625
"2635",400017733334,0,4,5,5,3.5,7375.43,416.82,561.5075
"2636",400017734346,0,1,14,12.6666666666667,13.625,7287.21,414.346666666667,610.4575
"2639",400017726710,0,0,17,18,11.375,5949.26,364.15,444.98625
"2643",400017724318,0,0,11,7.33333333333333,6.5,5773.31,431.436666666667,387.46625
"2646",400017729562,0,0,19,10.3333333333333,10.375,5732.08,368.413333333333,463.3825
"2666",400017714549,0,10,7,7,5.375,14536.2,905.61,1142.39375
"2669",400017721006,0,5,8,8.66666666666667,8.125,8447.49,474.506666666667,685.07
"2683",400121503050,0,64,NA,0.666666666666667,5.5,4010.17,96.0533333333333,465.25125
"3011",400017723831,0,0,14,10.6666666666667,8.625,4190.02,184.096666666667,336.22
"3014",400017707530,0,1,9,7,6.75,5309.49,286.123333333333,413.6125
"3015",400017734043,0,2,10,12,7.5,4060.84,266.633333333333,288.81125
"3017",400017735975,0,0,18,15.6666666666667,15.125,5684.08,270.173333333333,429.99
"3023",400017732571,0,2,6,7.66666666666667,6.125,9484.89,542.823333333333,706.595
"3028",400017715166,0,1,12,7,7.5,5851.99,289.613333333333,503.0375
"3032",400017724475,0,0,48,41,34.75,7142.03,373.186666666667,613.5125
"3037",400017720795,0,0,19,18.3333333333333,18.875,7898.73,436.863333333333,738.2525
"3039",400017711118,0,4,17,18,13.25,5699.86,288.283333333333,440.7475
"3041",400017720611,0,0,14,6,5.875,4049.86,213.943333333333,273.95125
"3044",400017742783,0,7,9,8.33333333333333,12,5557.36,120.54,535.03125
"3047",400017725395,0,1,10,7.66666666666667,7.625,5357.58,249.616666666667,445.23
"3050",400121413381,0,3,4,4.66666666666667,4.5,4770.5,365.743333333333,327.64125
"3061",400121463906,0,1,7,2.66666666666667,3.75,6387.76,378.566666666667,430.8475
"3066",400017705230,0,0,5,7.66666666666667,11.625,6294.25,289.066666666667,614.935
"3067",400017746279,0,5,10,11.6666666666667,9.5,4893.72,374.256666666667,326.125
"3074",400017704954,0,2,6,9.33333333333333,6.625,4521.17,311.99,363.5325
"3079",400017745083,0,1,9,6,9.5,4656.88,171.426666666667,418.67
"3080",400121455074,0,3,19,21,16.875,4136.68,269.276666666667,359.26
"3087",400010537957,0,0,9,14,13.625,4973.9,354.786666666667,406.14625
"3095",400017724383,0,2,8,7,5.75,5188.82,318.123333333333,387.95125
"3098",400121478718,0,1,9,11.3333333333333,8.625,5503.41,310.81,448.44125
"3099",400017713050,0,1,6,7.33333333333333,6.875,4325.38,201.666666666667,373.6625
"3114",400017732847,0,0,10,10.3333333333333,11.25,6893.2,402.74,565.145
"3436",400017712584,0,4,11,12,11.625,8785.59,508.956666666667,687.97875
"3437",400121451204,0,0,7,12.3333333333333,10.125,8045.81,525.026666666667,662.85625
"3438",400121506513,0,1,14,9.66666666666667,9,6672.39,447.126666666667,504.92
"3441",400017735693,0,0,29,25.3333333333333,22,6324.76,296.34,508.72375
"3444",400017724929,0,8,5,6.66666666666667,9.625,7109.09,400.406666666667,586.82625
"3446",400017740753,0,2,8,11,8.75,5567.44,298.473333333333,433.73
"3447",400017739189,0,0,46,5.66666666666667,14.75,5761.86,70.01,519.1075
"3448",400017717937,0,5,7,6,8,5267.41,264.556666666667,488.5975
"3456",400017733301,0,7,1,2.33333333333333,8.125,6626.3,75.96,731.76625
"3463",400017730909,0,1,5,2.66666666666667,3,4735.27,274.063333333333,373.65625
"3464",400017737809,0,0,21,21,13.875,6974.28,487.793333333333,485.41875
"3467",400017719501,0,3,6,7.66666666666667,8.5,8136.42,401.536666666667,634.955
"3471",400017747561,0,3,7,8.33333333333333,9.75,5620.24,289.95,463.025
"3474",400017722445,0,2,16,7.66666666666667,7,7750.02,457.16,582.66875
"3477",400017722629,0,0,16,9.66666666666667,9.125,5286.22,278.243333333333,440.69125
"3478",400017737073,0,0,10,12.6666666666667,10.5,7038.38,360.36,591.7075
"3486",400017710008,0,2,7,7.33333333333333,7.125,5415.46,319.196666666667,449.8825
"3496",400015601376,0,10,2,6,22.5,4830.44,96.7866666666667,536.22625
"3499",400121446972,0,8,6,4,4.625,6178.32,340.566666666667,543.5975
"3500",400017717477,0,3,31,25.6666666666667,17.25,15720.81,1038.32333333333,1130.41
"3501",400017734405,0,0,16,13.6666666666667,16.25,5958.82,273.406666666667,488.0325
"3507",400017718949,0,1,19,19.6666666666667,11.75,7618.93,512.846666666667,560.26375
"3518",400017733485,0,0,9,5.66666666666667,5.375,7345.44,350.14,602.63875
"3520",400001430900,0,0,21,13.3333333333333,7.5,4306.74,289.593333333333,261.3675
"3527",400017708996,0,0,10,5,6.5,6932.7,411.886666666667,568.3775
"3528",400017745905,0,23,7,8,7,4756.76,375.963333333333,383.22375
"3529",400017741857,0,2,9,13.3333333333333,8.375,5055.07,386.333333333333,382.91125
"3892",400017712292,0,4,7,7,6.125,6542.73,377.333333333333,537.5475
"3896",400017725741,0,1,7,7.66666666666667,8.625,6663.34,466.003333333333,531.11875
"3898",400017745521,0,0,27,31,28,9831.74,660.773333333333,696.08625
"3900",400001460600,0,0,8,10,11.5,10316.91,438.93,982.32
"3903",400121435347,0,83,NA,6,10,6185.91,411.19,619.0425
"3906",400017742669,0,1,10,12,11.875,6917.41,288.37,600.62
"3915",400017738897,0,1,9,7.33333333333333,5.25,4245.82,348.426666666667,313.80625
"3924",400017738621,0,0,13,6.33333333333333,8.25,7991.02,246.56,693.86875
"3925",400017705392,0,2,6,5.66666666666667,2.875,6890.67,513.383333333333,495.67875
"3927",400017740461,0,1,7,8.66666666666667,9.125,4737.9,279.233333333333,380.195
"3930",400017710268,0,1,15,14.6666666666667,11.25,10547.47,741.106666666667,824.87
"3935",400017711740,0,0,24,23,26,5662.51,325.416666666667,529.995
"3936",400017733285,0,1,19,14.3333333333333,9.5,4078.91,175.283333333333,316.56375
"3938",400017736413,0,41,NA,2.66666666666667,8.125,6825.67,128.053333333333,789.16375
"3952",400017738713,0,0,5,6.33333333333333,5.375,4045.32,233.633333333333,339.66875
"3953",400017729697,0,0,15,14.3333333333333,9.375,5612.2,331.67,465.5775
"3968",400017722889,0,0,14,12.3333333333333,9.375,4524.24,300.5,342.06375
"3978",400017684876,0,45,NA,4,3.25,4584.61,276.456666666667,408.44125
"3985",400017722429,0,7,7,7.66666666666667,7.5,4247.79,171.19,348.1975
"4003",400017734113,0,0,6,5.66666666666667,6.625,4553.97,163.96,392.39
"4318",400017747488,0,7,5,9.66666666666667,5.875,8957.09,567.07,630.07125
"4320",400017686475,0,27,2,5,3.625,6711.85,475.363333333333,542.8075
"4322",400017725684,0,3,8,9,8.125,4173.2,358.726666666667,271.0775
"4324",400017716484,0,1,16,10.6666666666667,14.625,10094.47,532.81,868.40625
"4325",400017733504,0,0,4,3.66666666666667,8.25,4332.51,106.78,384.9125
"4327",400017711499,0,0,15,9.66666666666667,10.75,7287.33,310.226666666667,648.125
"4330",400000601594,0,0,8,11.3333333333333,10.125,4592.2,199.693333333333,359.32125
"4331",400121428206,0,53,NA,7.66666666666667,9.375,8537.11,510.733333333333,815.945
"4333",400017718048,0,15,26,50,24.625,11898.17,951.646666666667,833.64
"4337",400017727984,0,0,10,12.3333333333333,15.25,4575.44,227.793333333333,333.60125
"4345",400017712327,0,0,8,7.66666666666667,8.875,7322.26,412.01,625.99375
"4347",400017708463,0,0,12,8.33333333333333,9.875,8216.42,450.166666666667,650.7775
"4348",400017743992,0,7,5,8.66666666666667,7.875,4023.92,406.186666666667,287.93375
"4350",400017719980,0,3,10,9.66666666666667,9.875,4206.21,182.87,337.51
"4358",400017742888,0,5,5,6,6.375,5451.03,304.873333333333,459.10875
"4360",400017713615,0,8,8,6.33333333333333,8.375,5881.87,232.93,544.72625
"4363",400017739760,0,5,9,9.33333333333333,8.75,4188.2,232.77,339.035
"4368",400001445547,0,0,12,13.6666666666667,11.25,4434.17,264.6,352.315
"4369",400017729088,0,7,1,6.33333333333333,6.625,4042.24,201.493333333333,349.44625
"4372",400017719704,0,1,14,13.3333333333333,10.375,8130.32,490.493333333333,670.77125
"4376",400017746016,0,0,22,18,9,5160.35,469.643333333333,320.71625
"4386",400017497272,0,8,5,7,2.875,4780.74,430.773333333333,265.74125
"4399",400011534677,0,2,12,11.3333333333333,10.625,4104.45,189.283333333333,352.34875
"4403",400017737920,0,0,4,3.33333333333333,5.125,4851.32,247.24,424.7475
"4405",400017711867,0,15,3,6,5.125,4748.86,263.523333333333,360.36375
"4412",400017730192,0,0,4,4.33333333333333,3,5309.42,288.44,404.73
"4420",400121515180,0,13,4,6.66666666666667,3.375,6690.49,549,498.8725
"4743",400017742186,0,0,20,21.3333333333333,17.125,5387.09,253.153333333333,450.16375
"4747",400017743106,0,0,17,13,12.5,6417.49,508.496666666667,525.96875
"4749",400017687613,0,0,13,14.6666666666667,12.25,5562.74,333.88,466.95625
"4750",400017709417,0,3,6,4.33333333333333,8.75,4144.94,148.76,388.29
"4760",400121492013,0,1,26,30.3333333333333,22.125,4165.68,280.283333333333,318.93625
"4765",400017717898,0,0,20,16.6666666666667,14,17012.81,1265.83666666667,1153.79625
"4768",400121513742,0,1,2,4.33333333333333,6.375,5572,403.633333333333,467.80875
"4769",400017734274,0,0,10,12,8,16214.45,1023.34,1315.3025
"4773",400014841046,0,0,14,7.66666666666667,10.125,18221,1037.38333333333,1289.04375
"4776",400121458157,0,75,NA,8,12.625,5304.09,321.973333333333,542.27125
"4777",400017709601,0,1,6,10,11.375,6785.66,379.356666666667,627.56125
"4782",400017649048,0,0,11,7.66666666666667,10.375,7903.44,338.033333333333,704.75125
"4786",400017734642,0,7,11,9.33333333333333,6.625,6264.34,405.503333333333,515.06125
"4796",400017725074,0,0,28,33.3333333333333,17.375,4382.74,352.246666666667,281.82875
"4800",400017741542,0,9,4,7.66666666666667,6.625,8678.02,645.663333333333,687.9625
"4801",400017747890,0,0,8,5.33333333333333,5.375,5769.81,383.86,420.65
"4806",400017742922,0,7,6,4,7.75,4817.6,168.786666666667,491.96
"4813",400017747522,0,0,10,12,7.25,7524.43,603.826666666667,524.905
"4816",400017713373,0,0,6,7,9,4524.92,240.023333333333,394.61
"4822",400120603072,0,1,10,8.33333333333333,1.875,4534.48,471.443333333333,193.73625
"4861",400017692489,0,2,3,3.33333333333333,4.625,6478.42,291.503333333333,628.875
"4879",400017713741,0,37,NA,9,6.25,5692.71,357.263333333333,536.2225
"5174",400121408445,0,0,12,15,14.625,4139.92,161.213333333333,374.1325
"5178",400017725427,0,0,16,19,19.125,5154.19,286.013333333333,434.515
"5184",400017710230,0,0,7,5.66666666666667,7.375,5211,145.383333333333,461.59
"5190",400017725611,0,1,13,10,10.375,9374.01,621.416666666667,655.02375
"5199",400017714370,0,3,4,6.33333333333333,20.25,7027.97,114.833333333333,795.86625
"5207",400017735087,0,0,9,9,7,4130.9,275.863333333333,307.9
"5214",400017743735,0,0,9,8,8.375,6954.67,320.853333333333,541.30125
"5218",400017747967,0,2,16,14.6666666666667,8.5,4805.74,346.366666666667,267.01875
"5219",400017710874,0,0,21,21,14.75,6206.34,375.396666666667,452.82375
"5222",400017727819,0,0,36,33,42.75,5152.63,275.23,465.4275
"5240",400017711518,0,2,5,3,19.875,4464.82,219.903333333333,406.755
"5242",400017703514,0,8,5,7,7.375,5426.13,199.87,500.3375
"5249",400121501951,0,79,NA,2,4.875,5510.03,204.04,612.23875
"5250",400017742263,0,0,6,8,7.25,4165.53,244.773333333333,329.68125
"5261",400017724507,0,36,NA,3.66666666666667,3,4243.38,315.463333333333,389.04
"5390",400017737755,0,15,8,8.66666666666667,4.75,5166.91,388.913333333333,332.56625
"5595",400017729266,0,1,11,9.66666666666667,7,4075.8,177.93,309.4775
"5596",400121503214,0,0,11,10,8.875,10306.48,591.236666666667,836.5
"5598",400017733590,0,1,9,17.3333333333333,15.875,16714.97,881.633333333333,1279.42
"5602",400017703765,0,0,10,13.3333333333333,20.25,7400.24,260.873333333333,681
"5608",400121514714,0,0,39,40,26.625,4309.05,282.816666666667,313.59625
"5612",400017724390,0,1,3,6,5.625,5671.54,259.04,509.9925
"5618",400017730186,0,3,12,7.66666666666667,7,5337.61,248.76,409.13875
"5619",400017732946,0,0,40,18.6666666666667,9.375,4398.59,330.76,288.21375
"5621",400121466397,0,0,9,6.33333333333333,6.125,8650.33,501.816666666667,696.27875
"5628",400017746930,0,5,7,6.66666666666667,5.625,5550.3,342.576666666667,434.615
"5630",400017695393,0,4,5,3.33333333333333,7.75,5251.77,182.143333333333,544.44375
"5631",400017722734,0,0,12,12,8,6249.32,398.536666666667,447.8275
"5633",400014194996,0,0,14,12.6666666666667,12,6116.31,338.193333333333,485.1125
"5637",400017744170,0,0,11,6.33333333333333,6,4433.27,283.086666666667,350.88125
"5644",400017707813,0,0,7,6.66666666666667,4.875,4390.86,361.213333333333,262.79
"5653",400017735430,0,3,10,8,9.5,10016.28,553.39,833.195
"5678",400010982259,0,0,14,10.3333333333333,9.75,4724.19,178.906666666667,446.31125
"5682",400017716662,0,0,14,7,8.5,4805.44,223.093333333333,383.60875
"5702",400017431377,0,11,2,4.66666666666667,6.125,5409.26,221.8,533.80875
"5704",400017733314,0,2,4,3.66666666666667,4.25,7509.83,378.273333333333,642.06625
"6030",400017714481,0,12,9,13.3333333333333,11.5,4538.87,247.3,411.1175
"6031",400001076120,0,2,10,7.66666666666667,8.375,5624.84,261.956666666667,497.49625
"6032",400017711169,0,1,7,3.66666666666667,3.625,4086.33,195.513333333333,337.77375
"6034",400017641232,0,0,13,15.6666666666667,19.125,7279.54,273.45,642.9625
"6041",400121517518,0,0,36,36.3333333333333,26.25,14423.05,764.086666666667,1107.67375
"6047",400121515218,0,8,6,13.6666666666667,16.625,7573.03,277.126666666667,745.53625
"6048",400017721030,0,11,5,10,8.5,8428.54,496.03,730.55375
"6052",400017727930,0,4,14,12.6666666666667,12.75,9183.72,523.566666666667,703.3225
