"","test1","scores"
"11","hi  i am using the gpu intensity pro on a bit windows  enterprise hp desktop computer at work together with sony hdrcx camcorder  the microsoft lync  basic client bit version  is used with the latest patch kb  i have connected a video signal to the intensity pro and i would like to use this input in microsoft lync  for video calls but i have no video signal in lync   in lync optionsvideo device settingsselect the camera you want to use for video calls declink video camera is used the preview window in lync is always black ie there is no video input signal from camera in video conference   call there is no video too the gpu drivers used are latest blackmagics desktop video  drivers for the intensity pro    the intensity pro drivers are working properly because when i use the blackmagic media express utility i can see preview video from the camera and i can change the video resolutions through graphic cards properties   – no problem at all i use the direct input from a camera and it works  the intensity pro is shown in the device manager and no errors at all    within lync i can access to change the video settings but the changes are not accepted and the small screen is still black so please let me know how to fix the problem  best regards  robert",0
"12","hello everyone so im pretty new to lync and im trying to deploy in my company   currently i have it working internally just fine however the external part im having all sorts of issues    ive followed some troubleshooting steps but   i cant seem to be getting anywhere so i was wondering if anyone could help    currently i have a fe server and an edge server   when i try the remote connection test i get the following error at the end            testing http authentication methods for url   http authentication test failed                additional details           a web exception occurred because an http   notfound response was received from unknownhttp response headers  contentlength   cachecontrol private  contenttype texthtml charsetutf  server microsoftiis  xaspnetversion   xpoweredby aspnetarraspnet  date thu  jul   gmt    elapsed time  ms                              i tried going to    and i get the following error  server error  in  application  the resources canno be found  description   http  the resource you are looking for  or one of its dependecies could have been removed had its name changed or is temporary unavailable  etc  requested url autodiscoverautodiscoverservicesvcroot  my browser is validating he certificate as the  is green    i dont know if it could be an issue with the rp or just the site  im using the iisarr as my reverse proxy and followed the steps on hte link below to set it up    i checked the mobility config adn the exposedweburl is set to external        thanks in advance for any help ",0
"13","i posted this on the other discussion but for the convenience here it is    here is the updated instruction for the fix    i just want to note that if you follow these instructions you will lose items pinned to the task bar     log user off     log in as admin     uninstall skype for business and office      delete all that’s in the folder cusersusernameappdatalocalmicrosoft click yes and check click yes to all prompts for delete     delete folder cusersusernameappdataroamingmicrosoft click yes and check click yes to all prompts for delete     now go to the users profile on the server and delete my example is servernameprofilesusernameappdataroamingmicrosoft click yes and check click yes to all prompts for delete     log off admin and login user     open regedit     delete the following    a computerhkeycurrentusersoftwaremicrosoftexchange    b computerhkeycurrentusersoftwaremicrosoftmsoidentitycrluserextendedpropertiesanything with the users email address on it    c computerhkeycurrentusersoftwaremicrosoftofficecommonidentityidentities    d computerhkeycurrentusersoftwaremicrosoftofficelync    e computerhkeycurrentusersoftwaremicrosoftofficeoutlookpst    f computer hkeycurrentusersoftwaremicrosoftofficeoutlooksearch    g computer hkeycurrentusersoftwaremicrosoftwindowscurrentversionwsmanclientconnectioncookies     log user into the portalofficecom     click the link that takes you to the install now but first deactivate the computer you installed the  on     after install office open outlook put user’s password in and once emails start downloading a little bit you can close the outlook     you can now run the skype for business install package setuplyncentryretailxenus or the skype install from the portalofficecom     after that installs it will let you log the user in     i would do a reboot on the computer     if you log back in and skype starts up without rebooting the computer you have successfully fixed the issue with your office  files on your roaming profile and conflicts with lync and outlook profile",0
"14","we had the  day trial version of lync and just recently updated to the full version i followed these instructions  on every machine which has eval version of servermsi installed    run msiexecexe fvomus servermsi evaltofull qb note the servermsi is from volume media   run ps cmdlet enablecscomputer  but when i do step  i get an error that says  ps cusersrlawley enablecscomputer  warning enablecscomputer failed  warning detailed results can be found at cusersrlawleyappdatalocaltempenablecscomputerafffacfdafefhtml  enablecscomputer  command execution failed service rtccdr was not found on computer jtts  at line char   enablecscomputer        categoryinfo           invalidoperation  enablecscomputer invalidoperationexception       fullyqualifiederrorid  processingfailedmicrosoftrtcmanagementdeploymentactivatemachinecmdlet  ps cusersrlawley     does anyone have an idea on how to fix this when users log onto one of our terminal servers they are getting a message that lync has expired",-1
"15","hello   ive installed several cumulative updates in the past on my lync  server through windows updates but i just found out that i have to update the lync server databases ive never updated the database after ive installed the cumulative updates in how   much trouble am i i havent had any issues with my lync servers everything seems to be working fine so far   now i have another cumulative update in my windows update queue and i want to make things right this time and update the lync database as well i know i have to run the following cmdlet   installcsdatabase update configureddatabases sqlserverfqdn eebefqdn usedefaultsqlpaths  probably a dumb question but here it goes my lync databases are hosted in my sql server they are not on the lync server due to this fact do i have to change the sqlserverfdqn parameter from eebefqdn to my sql servers fqdn and do i run the cmdlet   from my lync frontend server or from my sql server   will it cause too much trouble to update the databases this late in the game   thanks",0
"16","hi        i just installed skype for business recently i can use it well for sending im but not for making audio call  join a meeting    each time the others accept the call or join the meeting my skype just not responding this also happens before when i use lync  and still not solved until now      my laptop is dell xps  running windows  and the office version is     been trying the steps from other forums like reinstalling the lyncskype restart the laptop reinstalling the driver but still the same    the error message from event viewer like this  the program lyncexe version  stopped interacting with windows and was closed to see if more information about the problem is available check the problem history in the action center control panel   process id b   start time ddbdc   termination time    application path cprogram filesmicrosoft office rootofficelyncexe   report id ecfefdcebc   faulting package full name    faulting packagerelative application id         your suggestion will be much appreciated        thanks ",0
"17","weve have discovered that when running office  bit with lync  bit that vba code will give the error    runtime error  d  automation error  library not registered    when code is used to control powerpoint    we found that the following registry key   hkeyclassesroottypelibacfaabb    primaryinteropassemblynamemicrosoftofficeinteroppowerpoint version cultureneutral publickeytokenebceec    is created by the lync  installer and some subsequent patches but powerpoint v ie powerpoint  does not exist on the pcs only powerpoint  is installed other registry keys may be created that affect other components but weve   been concerned only with powerpoint    the office v ie office  equivalent registry keys have much more information     hkeyclassesroottypelibacfaaba    primaryinteropassemblynamemicrosoftofficeinteroppowerpoint version cultureneutral publickeytokenebceec    microsoft powerpoint  object library   hkeyclassesroottypelibacfaaba   hkeyclassesroottypelibacfaabawin    cprogram files xmicrosoft officeofficemspptolb   hkeyclassesroottypelibacfaabaflags       hkeyclassesroottypelibacfaabahelpdir    acfaab    it seems that the lync  installer is erroneously adding the b key assuming that powerpoint  is installed i discovered the following the patches also add the b key on pcs with lync  and office  installed    kb  ms description of the security update for lync  skype for business may    kb  may   update for onedrive for business kbkb  may   update for project  kbkb  april   update for office  kbkb  may   update for office  kbkb  may   update for onenote  kb    however about  or so other office  patches that get applied to these office  with lync  pcs do not add the b registry key eg  kb  update for outlook   kb  update for microsoft     i believe this is a bug in the lync installer and six patches described above  after we delete the b registry key the application works fine how can this be submitted to the office team    we havent yet done full regression testing for the office  suite so were at risk of breaking other legacy applications if we the upgrade pcs now to office     ian broadbent    ian broadbent",0
"18","hi matt  the may update release on tuesday just gone will have updated your clients to skypeb even if you neglected to apply the april one as you did a few people who are not looking to expose their users to any skypeb branding yet have been caught out by this   second punch as it were  what you experienced however is completely normal for an onpremises lync deployment when you apply these updates the clients are updated to skypeb under the hood but the gui will stay as the lync interface until such time the administrator enables the   skypeui to true in the client policies of their users however as youve eluded to although the gui stays as lync there are some subtle changes that may confuse users if the correct level of awareness doesnt exist the system tray will change to a skype   icon youll have difference sounds and ringtones the one click join meeting experience uses skype working instead of lync just to name a few  in contrast office  users are quite the opposite and the default experience for them will to be faced with a new skype gui unless their admins define otherwise  as for why some of your users were unaffected there must have been some minor inconsistences in the level  number of updates across the user populous  get some awareness actions on the go and adopt  resistance is futile   kind regards  ben    note if you find a post informative please mark it so using the arrow to the left if it answers a question youve asked please mark the thread as answered to aid others when theyre looking for solutions to similar problems or queries",0
"19","lets set the groundwork  mac os x  mountain lion  lync   also seen with  and   outlook      when lync and outlook are run concurrently lync  will after a brief period of time report extremely high cpu utilization over  cpu on a core i cpu at the same time outlook  will report high  and above cpu usage threads used by lync    will go up to about  from  when running by itself    during this time lync will remain responsive but outlook  will be effectively unresponsive commandq will quit outlook after a delay of  seconds inspecting the lync or outlook process via activity monitor will show abnormally large numbers of mach   messages system calls and context switches    quitting either lync or outlook will return cpu utilization and other indicators to normal levels    this behavior has been going on for several months its not a crashing issue but it makes it impossible to run lync and outlook at the same time    ive deleted and rebuilt documentsmicrosoft user data ive done a clean reinstall of mac os x on my mac ive confirmed that another user in my company is seeing the same behavior on their computer ive also read the other threads here this is not the   i had k messages in my deleted items folder error  ive long cleared that my total exchange server storage is mb with the largest single subfolder at mb  items inbox is typically between  and  items with no subfolders    no other processes report abnormal cpu usage during this time this includes microsoft database daemon and mdworker spotlight i am using activity monitor to view all processes not simply my processes    this is not transitory once the high cpu utilization phase begins its been seen to go on for as long as  minutes at which point i gave up and quit processes  so its not just a spike from an indexing process  i had high hopes for the lync  update but the issue remains any assistance would be appreciated",0
"20","hi everyone i am experiencing this kind of issue in my lync infrastructure    below is the infrastructure i manage  lync  enterprise edition   sip address    fe pool   fes behind  hlbs   av servers   directors   med pools   edge servers behind two hlbs   reverse proxies   this architecture relies on a resource forest all the user accounts are disabled in this forest but enabled in the trusted forest but enabled on lync application computers are in the ad forest not in the resource forest  the authentication used to sign in to lync is ntlm so when the users clicks on the save password flag  after inserting the user and password credentials to login you get the cerfiicate issued from communication servers stored in the user   personal certficate store which will expire by default after  days what ive read in the documents found around the web is that the certificate should be automatically renewed starting from one month to the expiration date and also   that  you should receive a nofication about the certificate is going to expire one week before expiration in my situation it doesnt happen i found out that the cerficate expires without notifying and renewing and i have to manually delete itotherwise   lync clients wont signin it remains stuck on the sign in screen after removing the expired certificate i was able to signin putting the credentials again and checking the save password i saw that i got a new certificate issued by communication server   that will expire after  days  can someone please explains what is happening is there a way to avoid this or to resolve the issue can  someone tell me how to use a ps script to get a list of user certificates that will expire in a certain date  many thanks",0
"21","hi  the distinct tone is sequentially played once at maximum volume the peak decibel value for each version was reached in the default ringtone  setting but it was only increased by roughly db   notice that all other ringtones appear to indicate a larger increase by comparison for example ringtone  which shows nearly a db gain    however a sound ‘heard’ at db is perceived as twice as loud as a sound heard at db    more details    note microsoft is providing this information as a convenience to you the sites are not controlled by microsoft microsoft cannot make any representations regarding the quality safety or suitability of any software or information found   there please make sure that you completely understand the risk before retrieving any suggestions from the above link    from the link below it is by design by polycom side so you can contact polycom side and ask if there is any workaround for this issue thanks for your understanding    best regards  eason huang            please remember to mark the replies as answers if they help and unmark the answers if they provide no help if you have feedback for technet support contact tnmffmicrosoftcom  eason huang  technet community support",0
"22","every time i open skype for business it gives me an error that says windows has encountered a critical problem and will restart automatically in one minute please save your work now then in   less then  seconds the computer reboots if you have skype for business setup to start automatically when login then when you login the computer prompts you with this message and reboots i have to go under msconfig and turn off microsoft office from loading   on startup so the user can login and work it also brings up another message that says were sorry but skype for business has run into an error that is preventing it from working correctly skype for business will need to be closed as a result would you   like us to repair now repair now help or close it doesnt matter what you click cause in less then  seconds the computer reboots and the message occurs again  i have done the following    windows updates   ran virus and malware scans   ran ccleaner   uninstalled and reinstalled skype and office    recreated user profile   deleted hkeycurrentusersoftwaremicrosoftofficelyncwhatever folders associated to the computer name and users emailsip  number  was a temporary solution it allowed the user to login to skype and work but when the user rebooted there computer and logged back into there computer we got the same message that   restarts the computer i am thinking that the office  server is generating these keys at login and creating a problem for the skype to work correctly  any thoughts would be greatly appreciated",0
"23","hi    i made a test programe that run lync  cmdlet from c but failed the errors as following     systemmanagementautomationcommandnotfoundexception    at systemmanagementautomationcommanddiscoverylookupcommandinfostring commandname commandorigin commandorigin     at systemmanagementautomationcommanddiscoverylookupcommandprocessorstring commandname commandorigin commandorigin nullable uselocalscope     at systemmanagementautomationexecutioncontextcreatecommandstring command      the environment is lync server  windows server  the code is same as the demo code in ms site as following and the same code could run in lync  environment       using system  using systemcollectionsobjectmodel  using systemmanagementautomation  using systemmanagementautomationrunspaces    namespace microsoftrtccollaborationsampleapplicationactivation      class program          staticvoid mainstring args               get the operating environment to run commands        initialsessionstate iss  initialsessionstatecreatedefault        issimportpsmodulenew string  lync         using runspace myrunspace  runspacefactorycreaterunspaceiss                  myrunspaceopen             execute the getcstrustedapplication cmdletusing systemmanagementautomationpowershell powershell  systemmanagementautomationpowershellcreate                      powershellrunspace  myrunspace            powershelladdcommandgetcstrustedapplication              collectionpsobject results  null            collectionerrorrecord errors  null            try                          results  powershellinvoke              errors  powershellstreamserrorreadall                          catch exception ex                           an error occurred running the cmdlets todo left to the reader error handling codethrow                          foreach psobject result in results                          consolewritelineidentityt   resultmembersidentityvalue              consolewritelineapplicationidt   resultmembersapplicationidvalue                        consolewritelinepress any key to exit            consolereadkey                                could anyone help with this issue it seems the command could not be found but there is no error when importing lync module",-1
"24","hi jcutolo     do you mean you running windows os on your macbook pro     note lync  is supported on windows platform lync for mac  is supported on osx platform     if it’s lync  does it work with lync for mac  on the same macbook pro      if it’s lync for mac  you might try the following suggestions   install the latest update of lync for mac      use a certified device to test     if your preferred device was not automatically set as the default audio device when you connected it you can change it by clicking the microphone icon in the lower left of the main lync   for mac window and selecting your device from the pulldown menu   if you are having audio problems and you cant resolve them within the lync for mac client you can specify the input and output devices in your system sound settings      a open system preferences and select sound      b select the appropriate settings for output and input     hope it can be helpful  best regards  ericplease remember to mark the replies as answers if they help and unmark the answers if they provide no help if you have feedback for technet support contact tnmffmicrosoftcom",0
"25","we have the following scenario    std lync  fe server     lync  edge server    lync conference with  or more user with lync  clients external    lync conference call  invitation via outlook lync online meeting  when we conduct a lync conference  call with some external clients we see the following issue by some clients   lync  external client connects to the conference and can talk   after  seconds the client gets disconnected   the client tries again and gets disconnected after  seconds again   after several tries the client stays in the conference   the call diagnostics on fe says   msclinetdiagnosticsreasoncall failed to estblishe due to a media connectivity failure when one endpoint is internal ant the other is remote    we have this issues only with about  of the clients furthermore if we do the same conferencing with the same client on another internet provider we dont run in this issue and everything just works perfectly  calling from the same external user to an internal user peer to peer works just fine for all clients  any help would be appreciated  bueschu                 bueschu",0
"26","good day  i have noticed that if i have started a lync conversation with someone during the entire day that it stores multiple copies of the conversation in my conversation history folder let me explain with an example  i talked with john doe from amam uninterrupted it will store that convo into the history folder with a size of kb  i come back to john around am and talked to him for another hour uninterrupted outlook will then combine the earlier conversation and append this convo to the bottom and save it in the history folder with a size of    kb however   if you look at the history folder it will still save the first conversation kb and have this new convo as well kb it does not cleanup the first conversation  the cycle continues throughout the day where i have multiple conversations with john and they get stored in multiple times without removing the old one end result we get a potentially large  of conversations stored chewing up a lot of space  i have been manually doing the cleanup of duplicate messages to free up space this leads me to the question on whether if there is a cleanup mechanism or setting i need to enable so that i can avoid this manual work  your responses are greatly appreciated  sunny",0
"27","hi    thanks for the response i have been trawling through technet for this issue but most of those responses quote a module that is failing    i have seen the ones mentioning updating drivers for cameras and graphics cards with varying degrees of success any newbuild machines with office  including lync work fine without needing driver updates it is only when adding lync  to   a pc that has lync  and a webcam that this issue comes up  the lync updates are deployed through sccm also but these are not resolving the issue    ive tried one driver update for the microsoft hd  webcam and that made no difference either updated drivers and patches still getting this error when opening lync    when removing lync  standalone and installing office  including lync there is no problem and there is a known issue with the oct in the lync  sp media meaning we had to deploy using a configxml  is this another known issue   that means this deployment media from microsoft cant be used to deploy lync   we are in the situation with several hundred users all with varying hardware now having lync  that crashes on startup we would like to resolve this without requiring reboots or hardware recalls if anyone can suggest any help it would be greatly appreciated   pushing out full office  is not an option unfortunately    thanks",0
"28","hi all  i am doing a research on seeing the feasibility of a voip solution for our company but as i came across ms lync it seems to have additional features like making phone calls through it instant messaging conferencing outlook integration  makingphone   calls by clicking the contacts number and all  now i see that after going through multiple documentations and wherever i could find more detailed information on lync and telephony i have the following questions   do we need a voip solution in place that will help us connect to any phone number from what it looks like we do from a desktop seems like it will link up with the voip soft client for the call   if we do need a voip solution in place will it work with any voip provider or do they have to have a specific voip customization with lync soft phone client integration any reference links if possible   outlook integration with lync i had a check on this reference it seems that it does a rpc call thus i take it we wont have to modify our exchange server  to allow integration with lync   business contact manager bcm  integration with lync  i searched as much as i could regarding this where phone call option is available in bcm but as i take it that it works for dialup modems only but with lync along with voip would   be able to initiate the call so that it could be tracked during the process as per log history    thanks in advance  thanks and regards  remus",1
