"","text","emotion","polarity"
"40","well this scam happened to me yesterday you would think people would learn ha ha i have seen posts on here date back to  regarding this if even  out of  people scammed paid the money i would imagine this number would be higher than just one though multiplyed but the amount of scams they can execute in  day over a  and a half year period these guys will be quite well offnbspanyway my story started on a dating website someone mailed me after liking my profile and what i was kind of taken back because she was very pretty obviously fake so after a little conversation she asked for my facebook acount which i stupidly gave her however the other stories i have read all say that they were added on facebook where as i was not anyway there was a video call made and it gotlets say fruity lol after around  mins or so the call was ended and a video of myselfbeing fruity was on screen andi glanced to see that it was getting sent over facebook i instantly pooped my pants and slammed the laptop closed contemplating my options i went to my mothers laptop and checked happy days nothing is there i return to my laptop to find they are still conversing with melike i said at the start we were never friends on facebook but this is exactly what was said to menbspi just sent your video has name removednbspbut it was my mothernbspand ill send it has all your other friends now i swear ill rot you life with this video and do not think that you got me your facebook personal you wrong you i have all your friends list and i am even friends with some of your contacts as i stay with my mother i then went back to the computer to check and there was nothing there obviously scare tactic and he probably didnt know we lived in the same house so this made me think how he actually got the contacts because my facebook is privatenbspanyway he demanded  euros so i asked him if he was daft that amount of money cant be raised in one day plus it is pm here everything is shut so he very kindy gave me till am this morning it is now  and i have heard nothing after watching a youtube video and reading on here i am going to do absolutle nothing about this as i said before i have read posts on this site dating back to  on this same scam if the video had been leaked there would be something about it in that period from then to nownbspi am also led to believe that if the video is released that is exactly how they would get traced and caught i really dont think they would ruin a very successful andnbsplucrative scam the number of people that will instantly pay this will massivly out weigh the people who wont paynbspwhat i have done is change every password i had reported the scammer to skype reported the video to youtube telling them i want it removed as it is being used against mein a blackmail scam and the video was labeld my name perverse masterbating infront of yo child i tols youtube that is this video surfaced it would undoubtably have severe concequences i refreshed the page and it was gone on facebook i have changed my actual name to something different changed alot of privicy settings to only me made my friends list available to only me the final thing i am doing right now is making a file of all the screen shots pictures and everything else and sending it to interpol i understand telling people to go to your local police station if they have any their powers to get anythingdone will be very low as this is an international crime it should be interpol that is notified documenting the information they gave you of where to send the moneynbspmy scammers name is  stephaniepleintnbspi hope that this post will put some peoples mind at rest a little i suppose its still early days yet but i am confident that nothing will come of it","joy","negative"
"45","so i have been using skype version x for a while now when skype automaticly updated from  a while back i am very unpleased with the newer versions of skype all of my friends has also been very unpleased with the newer versions compared to  i decided today that i would try and go back to version  as i find it very superior to any other skype version only to find you have blocked anyone from signin in to older versions of skype i mean sure update the skype client and make it worse remove features and whatever you want but dont stop other users from using the version they wantnbspit seems like skype is turning worse with every update it gets the call ui is so bleep bad i dont even understand how you came up with it when im a call i can only see the people that are in the call and not the people that arent connected to the call but are in the group i cant see if a person has parked the call or not either and if i want to call a person thats not connected but are in the group there are now  clicks it was previously  thats a really bad thing to user experience and its more cluttered also if there are few persons in the call edit just tested if the portraits take up the whole height rather when i want to disconnect them from the call i need to click the red button under their portrait but the menu that pops up when i hover the call blocks it so i need to resize the call to be able to kick them its really unbelievable that skype has gotten this much worse making it more cluttered and less user friendlynbspi have not tested the latest version x or whatever it is but some of my friends have and they all say its worse than before and before anyone says i cant complain about newer versions before testing the latest i dont care i took them  years to get from the version i was on to the one i am on now and they didnt improve one single thing they just made it worse so ill doubt they made it better in any later versionsnbsptldr skype  is the best version of skype and every version after is far worse and m blocks older versions","joy","negative"
"53","if i begin a call and while it is still in the call setup process meaning i hear either the pseudoringback or the real ring back coming from the telco operator that im calling and i switch another application to be the forefront application skpe is not in front skype hangs up why is that its not like as though skype is trying to save me money or bandwidth usage after all if skype happens to be running but not the forefront application there is no indication whatsoever that the application is running if you have your phone show the list of running or recent applications skype will not be there its also not in your status bar often times i have been out and about away from wifi only to hear someone trying to contact me on skype and that is how i realize that all this time skype has been eating my data plan so this is really a gripe on multiple fronts the part about hanging up just because skype isnt the forefront application during call set up also its about skype basically trying to hide itself and keep me misinformed as to its running statusnbspim sure ill get all kinds of messages from people who live on this forum and cheerlead for skypems because they get gold stars or badges or maybe they even get paid by microsoft who knows but there seems to be people on this forum that jump all over anyone who has anything negative to say about skype i suppose these are people who have nothing better to do when theres not a star treknbsp convention in townnbspin any case these are real gripes about real problems that skype has i have seen nothing good happen to skype since microsoft bought itnbsp basically microsoft has done for skype what theyve done for windows which is really just abuse their position as the major player in the market knowing that people have to take whatever they dish out i so much wish someone else would hurry up with a good alternative to skype","joy","negative"
"55","this is a simple issue nbspone could argue that we all know this is now microsoft and we should accept that you will be forced to do as the monopoly tells you  this is their policy nbspthis thread and other threads are years old nbspsomeday there will be enough people that file complaintsnbspfor using monopolistic powers and there will be more government investigations finally regulations and slaps on the wrist and there will be check boxes nbspuntil that ice cube melts there could be lawsuits and other legal options class action but frankly skype does as skype wants and says screw you the customer nbspface it a simple fact skype  microsoftnbspwhy nbspsimple first image yes we know how to do a checkboxnbspsecond image we know how to make you do what we want and dont care about your choiceskeywords nbspmicrosoft service agreementnbspnow for those that want to fix the bugnbsp nbspthis is a fix malware link normally used to fix what bad companies do that take control of your system you know the lowest of the low the hackers the scum of the earth  the bad guysnbspthe link fixes the bug in the update process of skype that could confuse users into regrouping this company with other groups listed above which of course could only happen as a result of this bug nbspyou know the one that hasnt been fixed in years nbspjust using google i will never use bing ever ice cube in hell melt down ill use books before using bing taking the hours needed to go to a library nbspback to point i have millions of hits that will equate taking control of anothers computer in those termsnbspdefense you have none nbspwell to admit your programmers cant fix a checkbox bug in yearsnbspactually i think the best direction is to get a network news organization interested in hacking and introduce how this is happening with products like skype nbspthe failure to fix bugs for years nbsp then gets our pals in government involved no not the us but the eu nbspim sure the bullies remember how fast and with force the eu hit home nbspill be in europe next month ill drop this idea with some of my contacts nbspmaybe get the bbc to ask some questions run a story nbspmaybe the french nbspa tidbit in the right ear nbspafter all the news of us hacking hum nbsplets get the ball rolling nbspnews nbspthis is news nbspmonopolies only exist if we the people allow them nbspwell with the help of our friends in the eu nbspwe will get a checkbox nbspno we will not settle for less than  nbsphomepage theft and forced bing must be stoppednbspi’m tired of stupiditybtw yes i did the update and fixed the bug in a minute nbspwhy i provided the link above nbspwith  years as an it consultant many years with fortune  companies this is an easy fixnbsp however this isn’t about fixing a system it is about who controls your system and why they dont put up  checkboxes nbsparrogancenbsphas ms and skype become this hard up that they have to force bing and msn on their users nbspit seems so nbspfor years sad very sadnbsp","sadness","neutral"
"60","i log in to my microsoft account on windows  usually skype will just automatically connect nbsprecently it will say cant sign in please type in your password and it pops up my microsoft account information as log in name and then i type in the same exact password i just used seconds ago to sign into my computer and it says cant sign in nbspthen i have to go to livelogin and change my password nbspi have done this more than a handful of times in the past month nbspit happens on my computer and also on my phone nbspnbspas soon as i change my password i go to my skype type it in and it works fine nbspi am pretty sure the problem is with skype and not my microsoft account because i can still log in to my computer and my hotmail just finenbspi am tired of having to change my password all of the time it happens at least once a week nbspit is particularly annoying say when on my lunch break i would like to just call my boyfriend overseas but since skype cant recognize my password even though it hasnt been changed and it is usually always automatically connected i have to go to change my password which includes me accessing an alternative email and typing in a code and blah bla hblah from my phone nbspnbspwhat gives ","joy","negative"
"61","i use multiple monitors and need to use another program to make good use of them i use a simple freeware program to lock the cursor to the screen unoless a button is pressed and it only offersnbspone shortcut ctrl for jumping between screens this program is always running so if i jump from one screen to the next and immediately go to type in skype it types an accented letter likenbspà ornbspè since it shares this shortcut with skype the problem is that it simply wont type any other nonaccented version letters on the first press so i just end up skipping the first letter completely most of the time there seems to be no way to change this shortcut on skype under the options so im wondering if there is another way to get around this outside of switching mouse control programs which ive tried but have had little luck with finding something as good                                                                                                                  solved                          go to solution","joy","negative"
"63","lillyth wrotei have the same problems with skype after logging in just checking on my list and about a minute later i get the communication window that skype stopped working here are the problem detailsnbspproblem signatureproblem event name bexapplication name skypeexeapplication version application timestamp efcdfault module name ltcgamedllunloadedfault module version fault module timestamp efadeexception offset feeexception code cexception dataampcolon os version locale id additional information  dfadditional information  dfefccecabeadditional information  bafadditional information  bafbdedcfaceebcffdenbspalso can provide a dxdiag if neccessary the video card driver is up to dat latest version also so i just cant figure what can be the problem maybe just my mistakeplease help and thank you in advancelillythuninstall raptr ingame overlay application most likely this application conflicts with skype","sadness","negative"
"64","hiin my case during the installation i saw only part of the second checkbox i cannot even say i could uncheck t i did not make screenshot i trusted microsoft to be better safe then sorry and not precheck unwanted installation agreement for me ok now i am sorry and i really hate to say that ms is going very low with such behavior it is probably some manager will get bonus for every thousand of istalations of this crappy swthe point is you should not presume agreement with anything called active disagreement your search engine and your msn stuff is irrelevant in most parts of the world it contains bluff useless information the search results apply to peopla in california but not berlin this is the reason i cannot use it on windows phone either so the search button one of the three on wp hw is completely useless only two usefull remain  how do you fix this i need uninstaller it is not even present in installed programs and i bet it will not uninstall if i uninstall skype which i like to usenbspso what microsoft do about this bloatware unwanted software will take the responsibility for buying and developing skypenbspnbsp","sadness","negative"
"67","i have a problem with skype on my android tablet when i make a video or voice call it kept idle as skype blue colour and no responsemy tablet details arebrand iball slidemodel g qandroid version kernel version iball slide nbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp jenkinswhcis nbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp mon mar   cst build number iballslidepibdjbmrnbspi have tried so many things like installing older versions of skype and update the tablet firmwarenothing progressfinally i installed catloglog reader and get log filei have attached the log file kindly find the file attachmenti hope someone has help me to solve this issuenbspregardsarun dayalane                                                                                                            attachments                                                                            logcatanddeviceinfozip  kb","joy","negative"
"68","hello peoplenbsp i am loving skype but i have an issuenbsprecently a user with malicious intent entered one of the group conversations im in on skype this user then proceeded to copy all the usernames of this groups membersnbspnbspthis user has programmed a bot that sends out those skype usernames on a site called omegle this has resulted in loads of unwanted contact requests for all people involved and it is rather frustratingnbspnbspi can provide the username of this user if required but have decided against posting it in this thread because of privacy concernsnbspnbspi was wondering if any steps could be taken to eliminate this issue unfortunately i am aware that this problem may be out of skypes reach i have also sent an email to omegle in an attempt to solve this problemnbspnbspthank you for taking the time to read this and i hope to hear back i am receiving dozens of contact requests per day from people who do not know what is going onnbspsincerelynbspmick","anger","negative"
"70","hello everyonei am struggling to get my skype account back but i havent managed so fari will try to be as specific as possiblefirst of all i have linked my skype account with my microsoft idsome time ago having the wrong impression that i dont need skype account since i have connected a microsoft id i filled the form for account releasea few days later my skype account was locked due to suspicious activity i figured out that this had to do with the form i filled ini tryed to recover the account using the recover form but the account is too old and it is impossible for me to remember when i created it or these kind of detailsadditionally when i choose the forget my password option in sign in page i always get an email that skype need a few more details to complete the account release processi dont want to release my account i want to recover iti have completed the recover account form many times with no luckafter being unable to recover the account i decided to create a new onei then asked from skype support to unlink my microsoft id from the previous account so that i can link it to my new accountsupport team refuses to unlink it and they tell my that i have to verify skype account firsti wonder how this is possiblelets assume that skype account isnt mine and i cannot verify itmicrosoft id is mine and i can verify ithow is it possible that skype support denies to unlink iti ask my microsoft id to be unlinked from a skype account that is not even mine since i cannot verify itisnt it logical that i ask it to be unlinkedi have exchanged so many emails with the support but i still havent managed to figure it outcan a representative from the support please answer me why skype refuses to unlink my microsoft idthank you in advance","joy","negative"
"72","the fact that dxdiag is crashing has nothing to do with skype but skype will not run with defect systemnbspdxdiag previously crashed in system information stage  amp directd stage  amp directsound stage  amp directinput stage  amp directshow stage  rerunning dxdiag with dontskip command line parameter or choosing not to bypass information gathering when prompted might result in dxdiag successfully obtaining this informationnbspi still dont see any default sound devices set in the diagnostics filenbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp description headset earphone plantronics rignbspdefault sound playback nonbspdefault voice playback nonbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp description speakers realtek high definition audionbspdefault sound playback nonbspdefault voice playback nonbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp description vs  nvidia high definition audionbspdefault sound playback nonbspdefault voice playback nonbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp description realtek digital output realtek high definition audionbspdefault sound playback nonbspdefault voice playback nonbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp description headset microphone plantronics rignbsp default sound capture nonbsp default voice capture nonbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp description desktop microphone  cinema  microsoft lifecamnbsp default sound capture nonbsp default voice capture nonbspwhat do you see in windows sound control panel gt recording amp playback devices","anger","positive"
"75","i have been having issues with skype after version  i have tried every version and all the ones after that have random freezing issues even the latest onenbsp when people message me it justfreezes sometimes for a second other times it totally freezes everything and i have to force rebooti am running a fast windows   bit computeri have reinstalled a zillion timesnbsp my graphics drivers direct x and windows are up to date as is ienbsp i have no antivirus in the way and windows firewall lets skype throughnbsp i have attached my dxdiag file for help to try and find what the hell is making skype randomly freeze up my computernbsp dnbsp because i am at a loss and dont know what to donbsp arg this is so frustrating also know i dont want to delete my chat history like as in on the server that stuff is important to me thanks                                                                                                            attachments                                                                            dxdiagzip  kb","anger","negative"
"76","hi adminnbspi inadvertantly cancelled my paypal subscription for skype my account fell below  and when i went to phone out it wouldntnbspi realised what i may have done so logged into my skype account online and revived the paypal subscription i have been notified on my skype that the extra money is there but i cant phone out nbspplease help me i have reproducd the message on my skype to show you that everything seems to be in order the total funds are now standing at  and everytime i try to call out the funds deplete but i am not able to get throughnbspie message on my desktop skype weve delivered your ordernbsp and info wasnbspyour skype number is now ready for you to use in some cases you may have to wait up to an hour for your skype number to be activated if you’re still having problems visit our help sectionso now whatyou should be able to start using your purchase immediately however in some cases you may have to wait up to an hour for it to be activated if youre still having problems visit our help sectionnext steps","sadness","negative"
"77","i share the same story as most of us here we swapped skype ids on meetme and  to my great surprise yesterday she messaged me in skype we kinda held a decent chat for a while she asked my fb account and i foolishly agreed i asked of hers fb too she passed me the fake account though i was suspecting her fake i could say she led the convo impeccebly beside i m a human too she called medid the stuff in campersuaded me tooand i acquesed we chated around an hour though the stuff lasted just  mins the rest convo was of making an account on hdsomething sitei told her i dont won a credit card after some time of discussing she called me backand there it was the most scariest thing i have ever seenmyself doing the stuff some mins before she thretened me to make an account in that site or else she will share the video with my fb friendsright away i deactivated my fb she again wrote me that she was aware of me deactivating the fb and thretend me by writing some name of my fb friends she did not shared the link of my video with me though immediatly closed the skype i swear sleeping at night was the hardest of alltoday after reading all these my fear is slightly abatedwe all share a same story and perhaps a similar situation i checked my skype account and there was literally no message i blocked heri have no intention of having a saucy stuff infront of cam yesterday she led the convo and she did everything else i was like a maniorettealthough after reading all these i am still horrified of being exposed or of my video used for illigeal stuff as thisalso i suspect that the video of her was prerecorded she said her mic was damagedi have made my mind that i would not go online in fb for a month or so i would not open skype too though it may be still early to report but i still havent heard of my video being leaked to my friends or familyall in all yesterday was the most painful and embarrasing day of my life i just wanted to ask here that is there anyone here whose video was shared to hisher friends any type of help is highly appreciated a lesson well learned never going repeat it again no way","joy","negative"
"78","conversation partner can see my large and own small videoi can see only mine small but only black where the other partys video should beconversation was initiated as a video callthe video icon indicates video onvideo icon close  open on both sides does not helpit does not matter which side initiates the video callit does not matter who the caller is tested with several and what type of skype they use windows macit does not matter whether the mobile phone is held vertically or horizontallyphone has been shut down gt off and then powered back upbattery is full it does not matter whether charging cable is plugged in or notinternet connection on both sides excellent fullspeed tested via speedtestnetskype uninstall incl preceding deletion of all data  reinstall does not helpproblem does not occur after uninstalling and reinstalling the old  via  maker mototoladevice name razr idevice model you can get this from native menu  settings  about phone  model number razr i xt gbandroid os version please specify whether this is stock android or a custom rom such as a cyanogenmod build stock android network mobile carrier or wifi for skype wifi homeoffice network only for phone service telefónica germany „o wo data packageskype client version installed skype  for android brief description of bad behavior see detailed posting above steps to repeat bad behavior see detailed posting above frequency of triggering bad behavior ie  tries vs  tries vs  tries every time because feature appears to be completely broken missing in skype  for android at least on my mototola razr i xt","joy","negative"
